公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
b7j4cx4,向上國際科技股份有限公司,電腦軟體服務業,遊戲軟體研發,360人,6億
amb3eog,日商倍樂生股份有限公司台北分公司,雜誌／期刊出版業,出版及文化事業,250人,5億
1a2x6bjyr9,新加坡商合眾科技顧問有限公司台灣分公司,其它軟體及網路相關業,軟體&APP開發,50人,500萬元
1a2x6bklkm,思華科技有限公司,電腦軟體服務業,電腦軟體服務業,100人,5000萬元
1a2x6bksif,智鈦星平台服務有限公司,工商顧問服務業,線上平台服務/國際平台諮詢,80人,暫不提供
1a2x6bkpc9,閃電俠股份有限公司,網際網路相關業,AmazingTalker - 全球線上外語教師媒合平台,20人,700萬元
db3fpgw,亞典行銷顧問有限公司,廣告行銷公關業,廣告行銷公關業,12人,500萬元
1a2x6bik9o,海科生技股份有限公司,綜合商品批發代理業,綜合商品批發代理業,暫不提供,暫不提供
1a2x6bjlry,建和國際開發有限公司,其他零售業,購物型網站/電子商務,20人,1750萬元
b6ctt6w,東森新媒體控股股份有限公司,網際網路相關業,網路+媒體+新聞+寵物實體通路,900人,10億
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
1a2x6bkbn6,昱峰智能大數據科技股份有限公司,電腦軟體服務業,智能大數據科技整體解決方案,27人,5700萬元
1a2x6bjpwh,麟數據科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,6000萬元
1a2x6bl7o5,影響力數據顧問股份有限公司,廣告行銷公關業,廣告行銷公關業,30人,1000萬元
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
13y0k0m0,慧訊國際股份有限公司,網際網路相關業,網際通訊、電子商務、資訊軟體及系統整合,100人,8000萬元
1a2x6bl676,創昇資訊有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
1a2x6bkddo,中國信託綜合證券股份有限公司,證券及期貨業,證券期貨業,500人,95億
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
1a2x6bkvhu,台灣資料科學股份有限公司,電腦系統整合服務業,數據分析之大型系統整合商,65人,1億2000萬元
1a2x6bkrny,弈樂科技股份有限公司,網際網路相關業,遊戲、軟體相關產業,120人,6000萬元
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
154in7zc,宇峻奧汀科技股份有限公司,電腦軟體服務業,軟體相關業/遊戲相關產業,420人,4億1747萬元
1a2x6bl85w,動能娛樂股份有限公司,廣告行銷公關業,廣告行銷公關業,暫不提供,暫不提供
1a2x6bklmh,有夢娛樂科技股份有限公司,其它軟體及網路相關業,電玩遊戲研發業,50人,500萬元
1a2x6bl2g9,台北神策諮詢顧問有限公司,電子通訊/電腦週邊批發業,專業的大數據分析平台與解決方案提供服務商,20人,120萬元
