公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1a2x6bi7t5,迅聯光電有限公司,精密儀器相關製造業,引進歐美高端精密科學儀器與數據處理應用軟體，包含航空機載感測器、移動測繪製圖、地面型3D雷射掃描與實景建模軟體。,暫不提供,1300萬元
1593j10w,微程式資訊股份有限公司,電腦系統整合服務業,物聯網科技服務,240人,3億5000萬元
1a2x6blcqm,涵澤有限公司,網際網路相關業,網際網路服務,30人,100萬元
1a2x6bkhg2,立炘數位行銷有限公司,廣告行銷公關業,廣告行銷公關業,25人,2000萬元
1a2x6blcqm,涵澤有限公司,網際網路相關業,網際網路服務,30人,100萬元
1a2x6bim8y,盈德網絡服務有限公司,工商顧問服務業,"顧問諮詢, 線上客服",340人,暫不提供
1a2x6bim8y,盈德網絡服務有限公司,工商顧問服務業,"顧問諮詢, 線上客服",340人,暫不提供
db3fpgw,亞典行銷顧問有限公司,廣告行銷公關業,廣告行銷公關業,12人,500萬元
12no9wsg,義隆電子股份有限公司,半導體製造業,IC設計,750人,30億8000萬元
b0tot34,太聯事業股份有限公司,消費性電子產品製造業,全球電子連接器產業；高階電子連接器之機電研發與製造；智慧電子產品之連接器應用方案整合服務,800人,5000萬元
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
1a2x6bkbn6,昱峰智能大數據科技股份有限公司,電腦軟體服務業,智能大數據科技整體解決方案,27人,5700萬元
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1a2x6bl676,創昇資訊有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
13y0k0m0,慧訊國際股份有限公司,網際網路相關業,網際通訊、電子商務、資訊軟體及系統整合,100人,8000萬元
1a2x6bkvhu,台灣資料科學股份有限公司,電腦系統整合服務業,數據分析之大型系統整合商,69人,1億2000萬元
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
1a2x6bkddo,中國信託綜合證券股份有限公司,證券及期貨業,證券期貨業,500人,95億
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
1a2x6bkrny,弈樂科技股份有限公司,網際網路相關業,遊戲、軟體相關產業,120人,6000萬元
1a2x6bl7o5,影響力數據顧問股份有限公司,廣告行銷公關業,廣告行銷公關業,30人,1000萬元
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
