公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
10ww9gpk,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),半導體製造業,高科技/半導體業,7131人,659億
1a2x6bkgdc,美商泰優股份有限公司台灣分公司,網際網路相關業,網際網路相關業,200人,暫不提供
1a2x6bkgdc,美商泰優股份有限公司台灣分公司,網際網路相關業,網際網路相關業,200人,暫不提供
1a2x6bjyjc,Nexperia_安世半導體股份有限公司,半導體製造業,半導體製造業,暫不提供,暫不提供
1a2x6bjyjc,Nexperia_安世半導體股份有限公司,半導體製造業,半導體製造業,暫不提供,暫不提供
auxx12g,華碩電腦股份有限公司,電腦及其週邊設備製造業,消費性電子產業,暫不提供,370億
1a2x6bl4ze,美商開頓股份有限公司台灣分公司,電子通訊/電腦週邊批發業,電腦及事務性機器設備批發業,暫不提供,暫不提供
1a2x6bk07z,新加坡商韋能能源有限公司台灣分公司,光電產業,光電產業,50人,1500萬元
oi77qwg,日新軟體股份有限公司,電腦軟體服務業,客製化線上軟體研發/線上娛樂平台開發以及其他相關應用軟體服務,200人,1000萬元
1a2x6bk07z,新加坡商韋能能源有限公司台灣分公司,光電產業,光電產業,50人,1500萬元
d9tnh1s,威朋大數據股份有限公司,網際網路相關業,行動數據科技業,90人,2億
at34wgg,德商默克在台集團_台灣默克股份有限公司,生化科技研發業,化學製藥,235人,1億
1a2x6bjvxb,美商太陽鳥軟體股份有限公司台灣分公司,電子通訊/電腦週邊批發業,資訊軟體業,暫不提供,暫不提供
1a2x6biwai,沛星互動科技股份有限公司,多媒體相關業,行銷軟體資訊服務業,暫不提供,暫不提供
1a2x6bilhz,伊雲谷數位科技股份有限公司,網際網路相關業,雲端運算服務專家,300人,8億
7qkso7s,Philip Morris Taiwan S. A. Taiwan Branch_瑞士商菲利普莫里斯股份有限公司台灣分公司,綜合商品批發代理業,A01進出口貿易商,暫不提供,暫不提供
1a2x6bi2ic,英屬維京群島商文思海輝技術有限公司台灣分公司,電腦軟體服務業,軟體相關業,暫不提供,1000萬元
cip9ftc,Digital River_美商亞太數位潮流科技有限公司台灣分公司,網際網路相關業,網際網路、電子商務、資訊服務,100人,100萬元
dzcu1uo,鴻霖航空貨運代理股份有限公司,航空運輸輔助業,運輸物流倉儲服務業,1500人,1億2600萬元
cip9ftc,Digital River_美商亞太數位潮流科技有限公司台灣分公司,網際網路相關業,網際網路、電子商務、資訊服務,100人,100萬元
1a2x6bkx3o,"Ri Connect, Inc._振鈺數位服務股份有限公司",電腦軟體服務業,電腦設備軟體,暫不提供,1億
dzcu1uo,鴻霖航空貨運代理股份有限公司,航空運輸輔助業,運輸物流倉儲服務業,1500人,1億2600萬元
1a2x6biw9n,溢騰科技有限公司,電腦系統整合服務業,網際網路相關,75人,暫不提供
lcogheg,渣打國際商業銀行股份有限公司,銀行業,金融相關業,3000人,暫不提供
5tvn5fc,Medtronic (Taiwan) Ltd._美敦力醫療產品股份有限公司,其他醫療保健服務業,醫療器材產業,280人,暫不提供
1a2x6biwai,沛星互動科技股份有限公司,多媒體相關業,行銷軟體資訊服務業,暫不提供,暫不提供
1a2x6bkwfb,塞特科技股份有限公司,網際網路相關業,科技相關業,15人,1億
1a2x6bkoq2,禧任有限公司,工商顧問服務業,顧問服務業,暫不提供,50萬元
cts3mvk,Scania_英屬維京群島商永德福汽車股份有限公司台灣分公司,陸上運輸輔助業,陸上運輸輔助業,280人,500萬元
b8tt66g,巴黎管理顧問股份有限公司,工商顧問服務業,保險管理顧問、資訊軟體及資訊處理等服務業,250人,1億4200萬元
azrtc7k,台灣保樂力加股份有限公司,綜合商品批發代理業,食品飲料煙酒貿易相關業,暫不提供,3000萬元
d21bcow,花旗(台灣) 商業銀行股份有限公司,銀行業,金融服務業,暫不提供,暫不提供
dzcu1uo,鴻霖航空貨運代理股份有限公司,航空運輸輔助業,運輸物流倉儲服務業,1500人,1億2600萬元
1a2x6biznw,環虹錕騰科技股份有限公司,檢測技術服務,檢測技術服務,60人,1億
112ce5w8,QNAP_威聯通科技股份有限公司,電腦軟體服務業,電腦軟體服務業,1300人,14億6000萬元
dzcu1uo,鴻霖航空貨運代理股份有限公司,航空運輸輔助業,運輸物流倉儲服務業,1500人,1億2600萬元
1a2x6bkmts,Deloitte_香港商德勤太平洋企業管理咨詢有限公司台灣分公司,工商顧問服務業,工商顧問服務業,暫不提供,暫不提供
wimigrc,台灣超捷國際股份有限公司,半導體製造業,無線通訊IC設計及半導體製造業,180人,5億
cwazk88,台灣瑞肯物流股份有限公司,倉儲業,倉儲物流業,30人,2億
1a2x6bkh91,法特科技有限公司,綜合商品批發代理業,全球銷售總部,暫不提供,暫不提供
1a2x6bj2gk,香港商愛珂亞洲有限公司台灣分公司,電腦及其週邊設備製造業,電腦周邊品牌,暫不提供,暫不提供
18muzmaw,美商亞洲美樂家有限公司台灣分公司,傳直銷相關業,零售服務業,350人,2000萬元
dzcu1uo,鴻霖航空貨運代理股份有限公司,航空運輸輔助業,運輸物流倉儲服務業,1500人,1億2600萬元
18js0ww0,日商三菱日聯銀行股份有限公司台北分公司,銀行業,金融証券產險相關業,180人,16億2000萬元
13onh09s,摩根證券投資信託股份有限公司,創投業,金融證券產險相關業,310人,暫不提供
7qnogbs,美商先進資訊有限公司 Advanced Control Systems Inc.,電腦軟體服務業,SCADA系統整合相關技術,120人,暫不提供
dzcu1uo,鴻霖航空貨運代理股份有限公司,航空運輸輔助業,運輸物流倉儲服務業,1500人,1億2600萬元
1a2x6bjrwo,香港商易安聯股份有限公司台灣分公司,其它軟體及網路相關業,金融科技及結算網絡服務 (金融監管特許核准) ,100人,暫不提供
152dvafs,美商柏恩亞太股份有限公司台灣分公司,被動電子元件製造業,被動零組件設計製造商,6000人,暫不提供
1a2x6bk3kq,美商雲達國際科技有限公司台灣分公司,電腦軟體服務業,電腦軟硬體服務業 雲端伺服器設計與製造,暫不提供,暫不提供
vtbog68,清祿鞋業股份有限公司,鞋類製造業,運動鞋製造,80000人,9600萬元
dbdqfx4,美商多特瑞有限公司台灣分公司,傳直銷相關業,綜合商品批發代理業,121人,3000萬元
7e6hi08,法商法國巴黎人壽保險股份有限公司台灣分公司,人身保險業,人壽保險業,190人,2億9000萬元
1a2x6bkmts,Deloitte_香港商德勤太平洋企業管理咨詢有限公司台灣分公司,工商顧問服務業,工商顧問服務業,暫不提供,暫不提供
1a2x6bj0p0,台灣米高蒲志國際股份有限公司,人力仲介代徵,人力仲介代徵,暫不提供,500萬元
1a2x6bkz8k,菜蟲農食股份有限公司,農╱畜╱水產品零售業,菜蟲農食是一個提供餐廳直接向生產者採購蔬菜食材的平台。 基於數據演算法、革新的商業模式、以及我們的餐廳夥伴及生產者網絡，我們正在推動現代、環境永續的農產運銷。,暫不提供,4216萬元
1a2x6bkq1d,香港商銳聯財智有限公司臺灣分公司,其他投資理財相關業,其他投資理財相關業,暫不提供,1000萬元
12xvoi74,IQVIA_艾昆緯股份有限公司,生化科技研發業,藥品臨床試驗、藥品研發、醫藥顧問服務,暫不提供,暫不提供
dd0cp20,EZTABLE_三二三網路科技股份有限公司,網際網路相關業,Internet網際網路相關業,40人,1億5450萬元
6191yf4,台灣新蛋股份有限公司,其它軟體及網路相關業,電子資訊、電腦週邊 IT 與 CE 產品,2000人,4億1200萬元
1a2x6biwtm,核桃運算股份有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,暫不提供
1a2x6bkuvm,KRONOS_麒點科技有限公司,電腦軟體服務業,科技業,60人,暫不提供
1a2x6bjrwo,香港商易安聯股份有限公司台灣分公司,其它軟體及網路相關業,金融科技及結算網絡服務 (金融監管特許核准) ,100人,暫不提供
cttcwi8,香港商利時綠適股份有限公司台灣分公司,百貨相關業,零售服務,600人,40萬元
1a2x6bkwho,奧米科技有限公司,電腦軟體服務業,資訊軟體服務業,30人,200萬元
1a2x6bj1nc,Tomofun_友愉股份有限公司,電腦系統整合服務業,寵物科技、人工智慧(AI)、IoT物聯網、網路軟體、網路攝影機、丟零食狗狗攝影機,暫不提供,4000萬元
wca2vdk,願境網訊股份有限公司_KKBOX,網際網路相關業,娛樂媒體科技相關,600人,暫不提供
a93tesw,尼爾森行銷研究顧問股份有限公司,工商顧問服務業,市場諮詢業務,300人,1200萬元
db8ak80,香港商捷比達有限公司台灣分公司,其他商品批發業,全球性品牌包裝設計,350人,暫不提供
1a2x6bj2uv,上緯新能源股份有限公司,其他專業／科學及技術業,離岸風場及再生能源開發,70人,2億
1a2x6bjrwo,香港商易安聯股份有限公司台灣分公司,其它軟體及網路相關業,金融科技及結算網絡服務 (金融監管特許核准) ,100人,暫不提供
ojonwyo,Gogoro Taiwan Limited_睿能創意股份有限公司,電力機械器材製造修配業,運輸工具及零件製造配修業,2300人,21億620萬元
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
a93tesw,尼爾森行銷研究顧問股份有限公司,工商顧問服務業,市場諮詢業務,300人,1200萬元
a93tesw,尼爾森行銷研究顧問股份有限公司,工商顧問服務業,市場諮詢業務,300人,1200萬元
1a2x6bldca,Wootrade_吾萃科技有限公司(籌備處),網際網路相關業,網際網路相關業,20人,暫不提供
