公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
12noi188,美商_科林研發股份有限公司_Lam Research,半導體製造業,半導體設備 / 美商Vendor,750人,3億2000萬元
10ww9gpk,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),半導體製造業,高科技/半導體業,7131人,659億
1a2x6bj18n,Zebra Technologies_台灣斑馬科技股份有限公司,電腦軟體服務業,專業列印與行動資料處理解決方案,100人,500萬元
12noi188,美商_科林研發股份有限公司_Lam Research,半導體製造業,半導體設備 / 美商Vendor,750人,3億2000萬元
18n64g34,遠傳電信股份有限公司,電信相關業,通訊/網際網路(第一及第二類通信),6300人,325億
1a2x6bj2ma,美商_國家儀器股份有限公司,電腦及其週邊設備製造業,量測儀器軟硬體、自動控制相關業,暫不提供,暫不提供
wi76gug,香港商施華洛世奇有限公司台灣分公司,首飾及貴金屬批發業,進出口貿易/ 零售業,190人,暫不提供
webvtu8,怡東人事顧問股份有限公司,人力仲介代徵,高階獵才、人才派遣、代理招募、薪資代管、顧問諮詢,暫不提供,暫不提供
d21bcow,花旗(台灣) 商業銀行股份有限公司,銀行業,金融服務業,暫不提供,暫不提供
ck7gt1k,德誼數位科技股份有限公司,百貨相關業,百貨零售／電子通訊／電腦週邊零售業,450人,1億8000萬元
auxx12g,華碩電腦股份有限公司,電腦及其週邊設備製造業,消費性電子產業,暫不提供,370億
oi77qwg,日新軟體股份有限公司,電腦軟體服務業,客製化線上軟體研發/線上娛樂平台開發以及其他相關應用軟體服務,200人,1000萬元
6x5djq8,CRIF TAIWAN_中華徵信所企業股份有限公司,工商顧問服務業,企業徵信及其他工商顧問,100人,3億4000萬元
1a2x6bitk6,非常勸敗VeryBuy_非常網路科技股份有限公司,網際網路相關業,網際網路相關業、電子商務、網路購物、跨境購物,80人,暫不提供
1a2x6bjhl4,知之有限公司,其它軟體及網路相關業,教育/教育科技/其它軟體及網路相關業,70人,100萬元
1a2x6ble7t,圈圈科技有限公司,其它軟體及網路相關業,其它軟體及網路相關業,18人,300萬元
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
1a2x6bitk6,非常勸敗VeryBuy_非常網路科技股份有限公司,網際網路相關業,網際網路相關業、電子商務、網路購物、跨境購物,80人,暫不提供
1a2x6bi4ov,美商網基股份有限公司台灣分公司,電腦軟體服務業,電腦軟體業,暫不提供,暫不提供
1a2x6bjevl,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,網際網路相關業,網際網路相關業,暫不提供,暫不提供
1a2x6biz55,順立智慧股份有限公司,其它軟體及網路相關業,資訊軟體設計公司,100人,2800萬元
1a2x6bilhz,伊雲谷數位科技股份有限公司,網際網路相關業,雲端運算服務專家,300人,8億
dzcu1uo,鴻霖航空貨運代理股份有限公司,航空運輸輔助業,運輸物流倉儲服務業,1500人,1億2600萬元
lcogheg,渣打國際商業銀行股份有限公司,銀行業,金融相關業,3000人,暫不提供
10rf7luo,NVIDIA_香港商輝達香港控股有限公司台灣分公司,電腦及其週邊設備製造業,半導體產業,11000人,730億
10rgkbpk,美商奧崴國際股份有限公司台灣分公司,綜合商品批發代理業,運動鞋材料與包裝買賣,150人,暫不提供
5h3lyhs,IBM_台灣國際商業機器股份有限公司,電腦系統整合服務業,資訊服務業,暫不提供,3億6萬元
1a2x6bldr7,新加坡商齊舵管理顧問有限公司台灣分公司,工商顧問服務業,工商顧問服務業,暫不提供,50萬元
1a2x6bknlh,臺灣發展軟體科技股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,暫不提供
1a2x6biwai,沛星互動科技股份有限公司,多媒體相關業,行銷軟體資訊服務業,暫不提供,暫不提供
1a2x6bkwfb,塞特科技股份有限公司,網際網路相關業,科技相關業,15人,1億
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
1a2x6bjhm7,威摩科技股份有限公司,其它軟體及網路相關業,結合手機App、IoT、Big Data的智慧電動機車即時租借服務,280人,1億
d9tnh1s,威朋大數據股份有限公司,網際網路相關業,行動數據科技業,90人,2億
d9tnh1s,威朋大數據股份有限公司,網際網路相關業,行動數據科技業,90人,2億
