公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1a2x6bibgg,德商foodpanda_富胖達股份有限公司,電腦系統整合服務業,網際網路相關業,500人,暫不提供
10ww9gpk,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),半導體製造業,高科技/半導體業,7131人,659億
18n64g34,遠傳電信股份有限公司,電信相關業,通訊/網際網路(第一及第二類通信),6300人,325億
1a2x6bj2ma,美商_國家儀器股份有限公司,電腦及其週邊設備製造業,量測儀器軟硬體、自動控制相關業,暫不提供,暫不提供
1a2x6bj1nc,Tomofun_友愉股份有限公司,電腦系統整合服務業,寵物科技、人工智慧(AI)、IoT物聯網、網路軟體、網路攝影機、丟零食狗狗攝影機,暫不提供,4000萬元
1a2x6bjncy,美商迪諾亞股份有限公司台灣分公司,網際網路相關業,網路軟體服務,30人,300萬元
1a2x6bibgg,德商foodpanda_富胖達股份有限公司,電腦系統整合服務業,網際網路相關業,500人,暫不提供
1a2x6bklmh,有夢娛樂科技股份有限公司,其它軟體及網路相關業,電玩遊戲研發業,50人,500萬元
1a2x6bk39d,威旭資訊有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,2000萬元
cv8shww,艾斯移動股份有限公司,電腦軟體服務業,網際網路相關業、電子商務、網路零售,暫不提供,6000萬元
abdz5yx,東森購物_電視購物_東森得易購股份有限公司,百貨相關業,批發零售百貨流通業,2200人,40億
b64m6g0,集太科技有限公司,電腦軟體服務業,電腦軟體服務業,11人,暫不提供
1a2x6bkbn6,昱峰智能大數據科技股份有限公司,電腦軟體服務業,智能大數據科技整體解決方案,27人,5700萬元
18ix2fqw,博客來數位科技股份有限公司,網際網路相關業,資訊服務業(電子商務),暫不提供,2億
7hsiods,網際威信股份有限公司,網際網路相關業,資訊服務業,110人,1億7200萬元
ahfsoq0,廣達電腦股份有限公司,電腦及其週邊設備製造業,電子資訊業,8691人,386億2627萬元
cwxs6o0,思銳科技股份有限公司,網際網路相關業,網際網路相關業,50人,1億9851萬元
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
1a2x6bjgmv,臺醫光電科技股份有限公司,醫療器材製造業,醫療器材研發與製造,19人,7267萬元
7mmueb6,PChome Online_網路家庭國際資訊(股)公司,網際網路相關業,資訊服務業,1900人,11億
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1q0r45c,台北富邦商業銀行股份有限公司,銀行業,H101021商業銀行業,6750人,1123億
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
1a2x6bl7o5,影響力數據顧問股份有限公司,廣告行銷公關業,廣告行銷公關業,30人,1000萬元
1a2x6blb66,奕特資訊有限公司,電腦軟體服務業,電腦軟體服務業,75人,暫不提供
1a2x6biclh,瑄品股份有限公司,電腦系統整合服務業,國內大型的全方位資訊公司，專業使我們跟客戶更緊密，具備AI團隊、軟體開發、UI/UX設計以及資安團隊．,130人,5000萬元
17n3i7lk,勤業眾信聯合會計師事務所,會計服務業,法律會計建築事務所,3800人,暫不提供
1a2x6bl2g9,台北神策諮詢顧問有限公司,電子通訊/電腦週邊批發業,專業的大數據分析平台與解決方案提供服務商,20人,120萬元
1a2x6bjr0y,雲智匯科技服務股份有限公司,其他電子零組件相關業,其他電子零組件相關業,50人,3億6000萬元
o5qtyqg,拓凱實業股份有限公司,其他相關製造業,運動休閒產品、航太醫療產品、原物料及其他,280人,9億820萬元
wf3xsmw,東方線上股份有限公司,工商顧問服務業,運用多元及巨量資料探索生活者消費商機,60人,6000萬元
1a2x6bkf7m,愛酷智能科技股份有限公司,電子通訊/電腦週邊批發業,資訊業,60人,1億
1a2x6bldf2,臺灣特力智慧科技有限公司,電腦軟體服務業,電腦軟體服務業,30人,3000萬元
ckkyqvc,富邦媒體科技股份有限公司(富邦momo),百貨相關業,電視購物/網路購物/型錄購物,2400人,暫不提供
coo5hi0,煒晶科技股份有限公司,電腦軟體服務業,MIS及資訊軟體服務業,50人,6000萬元
612hgj4,華聯生物科技股份有限公司,生化科技研發業,生物晶片 (DNA Microarray) 的設計、研發、生產與試劑、實驗服務銷售,88人,5億2800萬元
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
10wkoo2w,中華系統整合股份有限公司,電腦軟體服務業,資訊服務業,320人,6億
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
cr8bru0,台灣大車隊股份有限公司,休閒服務業,一般服務業、網際網路業、廣告媒體銷售、旅遊休閒,430人,5億64萬元
1a2x6bi2px,艾得基客行銷顧問股份有限公司,工商顧問服務業,網路行銷顧問,130人,暫不提供
1a2x6bk1k6,威聯網科技有限公司,網際網路相關業,網際網路相關業,7人,300萬元
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
1a2x6bk3uw,物聯網股份有限公司,網際網路相關業,網際網路相關業,暫不提供,暫不提供
o5x51w0,中國醫藥大學附設醫院,醫院,醫學中心級之大學附設醫院,4000人,暫不提供
wiedfdk,台灣之星電信股份有限公司,電信相關業,電信業,暫不提供,545億6572萬元
10wkoo2w,中華系統整合股份有限公司,電腦軟體服務業,資訊服務業,320人,6億
cr8bru0,台灣大車隊股份有限公司,休閒服務業,一般服務業、網際網路業、廣告媒體銷售、旅遊休閒,430人,5億64萬元
wifkjug,亞太電信股份有限公司,電信相關業,電信科技服務業,暫不提供,429億823萬元
1a2x6bio5g,91APP_九易宇軒股份有限公司,網際網路相關業,全球品牌「新零售」浪潮掀起，消費場景重新定義，面對新市場環境與互聯網高速演進，許多零售品牌甚至大型實體門市被迫快速數位轉型。新零售時代，聚焦趨勢放眼未來，91APP以台灣為起點，協助零售品牌全面升級。,400人,2億
cwxk0oo,力晶積成電子製造股份有限公司(力積電),其他半導體相關業,其他半導體相關業,7150人,500億
cwxk0oo,力晶積成電子製造股份有限公司(力積電),其他半導體相關業,其他半導體相關業,7150人,500億
169tvn88,財團法人國家衛生研究院,其他教育服務業,學術研究及服務業,1400人,暫不提供
wifkjug,亞太電信股份有限公司,電信相關業,電信科技服務業,暫不提供,429億823萬元
cr8bru0,台灣大車隊股份有限公司,休閒服務業,一般服務業、網際網路業、廣告媒體銷售、旅遊休閒,430人,5億64萬元
1a2x6bkzzz,安智聯科技有限公司,電腦軟體服務業,資訊軟體服務業,40人,500萬元
1a2x6blcxx,豪銳資訊有限公司,電腦軟體服務業,電腦軟體服務業,10人,250萬元
13u3sbvs,緯創軟體股份有限公司,電腦軟體服務業,資訊軟體服務業,5300人,4億3878萬元
1a2x6bl5rb,智谷系統有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,暫不提供
cr8bru0,台灣大車隊股份有限公司,休閒服務業,一般服務業、網際網路業、廣告媒體銷售、旅遊休閒,430人,5億64萬元
1a2x6bj312,髮拉儷皮膚科診所,診所,診所,10人,500萬元
10wkoo2w,中華系統整合股份有限公司,電腦軟體服務業,資訊服務業,320人,6億
1a2x6blcfz,新加坡商戴維諾顧問有限公司,綜合商品批發代理業,綜合商品批發代理業,暫不提供,暫不提供
cnk0ahs,數聯資安股份有限公司,電腦系統整合服務業,資訊業,150人,4億
21nuubs,脫普聚益股份有限公司,其他相關製造業,其他相關製造業,暫不提供,1億6000萬元
7lka688,凌網科技股份有限公司,電腦系統整合服務業,軟體開發設計/系統整合,350人,3億4633萬元
