公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1a2x6bjza1,星旺人力資源管理顧問有限公司,人力仲介代徵,人力仲介代徵,800人,1000萬元
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
webvtu8,怡東人事顧問股份有限公司,人力仲介代徵,高階獵才、人才派遣、代理招募、薪資代管、顧問諮詢,暫不提供,暫不提供
1a2x6bjza1,星旺人力資源管理顧問有限公司,人力仲介代徵,人力仲介代徵,800人,1000萬元
1a2x6bkpbm,樂雲智能有限公司,網際網路相關業,雲端服務商暨網際網路相關業,20人,1000萬元
wiqbj68,保德信國際人壽保險股份有限公司_總公司,人身保險業,保險業,1200人,49億
webvtu8,怡東人事顧問股份有限公司,人力仲介代徵,高階獵才、人才派遣、代理招募、薪資代管、顧問諮詢,暫不提供,暫不提供
cn7vsrc,遠東集團HAPPY GO_鼎鼎聯合行銷股份有限公司,廣告行銷公關業,服務,120人,3億
bitopvc,傳宗食品有限公司,食品什貨批發業,超商4度C涼麵.外銷急速冷凍麵.冷藏殺菌麵.調味料與麵食相關業,36人,2300萬元
wi76gug,香港商施華洛世奇有限公司台灣分公司,首飾及貴金屬批發業,進出口貿易/ 零售業,190人,暫不提供
dee0uig,瑞竣科技股份有限公司,網際網路相關業,以地理資訊系統(GIS)為核心的資訊公司，為Google企業合作夥伴，推廣空間資訊的加值應用！,85人,2100萬元
1a2x6bkubc,格萊鉑數位有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,暫不提供
1a2x6bkygn,紫式大數據決策股份有限公司,工商顧問服務業,工商顧問服務業,11人,900萬元
1a2x6bl15b,美商心環科技股份有限公司,其它軟體及網路相關業,生醫與醫療器材研發,暫不提供,暫不提供
1a2x6bjjlo,意藍資訊股份有限公司,網際網路相關業,資訊服務業,85人,1億7344萬元
1a2x6bjm04,皓博科技股份有限公司,其它軟體及網路相關業,軟硬體及網路相關業,4人,1750萬元
wekjlls,華碩雲端股份有限公司,網際網路相關業,雲端儲存平台、物聯網應用平台,暫不提供,5億
d5bkt7k,環球誠信有限公司,電腦軟體服務業,數位醫療照護平台之科技產業,30人,500萬元
abf8u9c,合華科技股份有限公司,電腦軟體服務業,醫療軟體研發,70人,1億700萬元
1a2x6bjz66,烏龜移動科技股份有限公司,廣告行銷公關業,廣告行銷公關業,35人,100萬元
1a2x6bjz66,烏龜移動科技股份有限公司,廣告行銷公關業,廣告行銷公關業,35人,100萬元
1a2x6bi8ln,凡谷興業有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,1億6000萬元
1a2x6bl37p,醫守科技股份有限公司,電腦軟體服務業,醫療人工智慧決策支援系統,10人,6000萬元
dbj2z8w,英屬維京群島商嘉碼科技有限公司台灣分公司,電腦系統整合服務業,遊戲機管理系統,80人,4億1000萬元
1a2x6bjxsx,圖靈數位股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,15人,300萬元
1qqhvko,臺灣中小企業銀行股份有限公司,銀行業,金融證券產險相關業,5200人,713億2000萬元
1a2x6bkyy5,毅傳媒控股股份有限公司,電視業,新聞媒體資訊業,暫不提供,暫不提供
1a2x6bkwg9,我傳媒科技股份有限公司,數位內容產業,數位內容產業,50人,1億
1a2x6bl3wa,昱翔多媒體廣告有限公司,廣告行銷公關業,廣告行銷公關業,暫不提供,暫不提供
1a2x6bin60,新加坡商鈦坦科技股份有限公司台灣分公司,電腦軟體服務業,開發與維護大型跨國網站,280人,暫不提供
1a2x6biwtm,核桃運算股份有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,暫不提供
ockmu5c,CatchPlay_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,網際網路相關業,網際網路及影音串流相關產業,150人,1億5000萬元
1a2x6bifpd,易享科技股份有限公司,網際網路相關業,網際網路相關業,暫不提供,暫不提供
1a2x6bkmt7,智立杰國際有限公司,工商顧問服務業,廣告行銷公關業,40人,600萬元
1a2x6bk0me,圓寶記帳士事務所,會計服務業,會計服務業,4人,100萬元
1a2x6bl8mi,寗檬鐦發有限公司,工商顧問服務業,工商顧問服務業,暫不提供,暫不提供
1a2x6bkf7m,愛酷智能科技股份有限公司,電子通訊/電腦週邊批發業,資訊業,60人,1億
1a2x6bip2d,勤學科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,10人,暫不提供
1a2x6bjjlo,意藍資訊股份有限公司,網際網路相關業,資訊服務業,85人,1億7344萬元
1a2x6bjl2j,銓日儀企業有限公司,其他專業╱科學及技術業,其他專業╱科學及技術業,50人,3000萬元
ckkyqvc,富邦媒體科技股份有限公司(富邦momo),百貨相關業,電視購物/網路購物/型錄購物,2400人,暫不提供
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
1a2x6bkw89,大牛科技有限公司,廣告行銷公關業,軟體開發,暫不提供,2000萬元
1a2x6bl676,創昇資訊有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
ahwbxqg,威誠織造有限公司,紡織成衣業,A01 進出口貿易商,20人,1480萬元
18kmrfrk,綠界科技股份有限公司,電腦系統整合服務業,網際網路相關業、金融相關業,180人,1億2800萬元
a5hf0cg,台灣光罩股份有限公司,半導體製造業,光罩,暫不提供,暫不提供
1a2x6bjirg,國際海洋股份有限公司,檢測技術服務,台灣離岸風電整合服務集團,70人,1億6000萬元
1a2x6bkxjv,三也科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,500萬元
1a2x6bldr7,新加坡商齊舵管理顧問有限公司台灣分公司,工商顧問服務業,工商顧問服務業,暫不提供,50萬元
10qdvrrk,奇邑科技股份有限公司,通訊機械器材相關業,1.  IC設計          2.	長距離低功耗物聯網產品,44人,2億7707萬元
1a2x6bjzq0,英屬維京群島商博裕科技有限公司台灣分公司,電腦軟體服務業,電腦軟體服務業,50人,暫不提供
whlrnm8,明基電通股份有限公司,消費性電子產品製造業,消費性電子,1300人,38億5000萬元
1a2x6bl7te,卓躍有限公司,其它軟體及網路相關業,資訊軟體服務業,暫不提供,暫不提供
1a2x6bk9xc,復旦電競有限公司,電腦軟體服務業,專業遊戲軟體研發,30人,暫不提供
1a2x6bivba,台灣基康股份有限公司,其他醫療保健服務業,其他醫療保健服務業,30人,1億
atiuxrs,ViewSonic Corporation_優派國際股份有限公司,電腦系統整合服務業,"電腦硬體, 軟體與整合服務; 消費電子產品及進出口貿易業務",1000人,暫不提供
1a2x6bk841,和泰聯網股份有限公司,網際網路相關業,網際網路相關業,暫不提供,8億3000萬元
cmosksg,瑋旻科技有限公司,光學器材製造業,光學檢測設備製造業,暫不提供,1000萬元
1a2x6blbgu,展市華科技有限公司,電腦軟體服務業,電腦軟體相關,暫不提供,500萬元
1a2x6bkuv0,鷗維科技股份有限公司,電腦軟體服務業,電腦軟體服務業,12人,500萬元
1a2x6bkk0z,信業國際有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
156tqe2w,新代科技股份有限公司,自動控制相關業,自動控制相關行業,290人,2億3000萬元
1a2x6bj968,芸享科技有限公司,網際網路相關業,網際網路/軟體相關業,暫不提供,暫不提供
1a2x6bkq6n,主橙資訊科技股份有限公司,電腦軟體服務業,"電腦軟體,設計服務業。",10人,300萬元
1a2x6biw16,台灣樂天信用卡股份有限公司,其他金融及輔助業,信用卡業務,暫不提供,8億5000萬元
1a2x6bkb9x,希格斯資訊科技有限公司,電腦軟體服務業,電腦軟體服務業、網際網路相關業,暫不提供,暫不提供
1a2x6bldu6,星擊科技股份有限公司,電腦系統整合服務業,AIoT軟硬體整合解決方案、大數據平台應用整合、企業級應用軟體解決方案、企業系統整合、電腦系統整合,暫不提供,5000萬元
1a2x6biaz4,禾多移動多媒體股份有限公司,數位內容產業,數位內容產業,22人,5284萬元
1a2x6bij5q,剛谷科技股份有限公司,電腦軟體服務業,第三方支付服務業、電腦軟體服務業,40人,8000萬元
au9s148,德安資訊股份有限公司,電腦系統整合服務業,資訊系統服務業(旅宿飯店/連鎖餐飲),90人,2620萬元
1a2x6bilhz,伊雲谷數位科技股份有限公司,網際網路相關業,雲端運算服務專家,300人,8億
1a2x6bks9s,光禾感知科技股份有限公司,其它軟體及網路相關業,空間感知、訊號處理、電腦視覺及人工智慧領域,40人,8500萬元
1a2x6bl8xj,紅石資訊有限公司,電腦系統整合服務業,電腦系統整合服務業,50人,50萬元
1a2x6bl5je,玖天富科技股份有限公司,數位內容產業,遊戲軟體相關產業,暫不提供,300萬元
wdfgzo0,FUNDAY_智擎數位科技股份有限公司,網際網路相關業,數位內容產業,200人,3100萬元
1a2x6bkkiu,鉑麟科技股份有限公司,電腦軟體服務業,資訊軟體服務業,50人,1000萬元
18n3q7x4,翱騰國際科技股份有限公司,電腦系統整合服務業,系統整合 / 軟體相關業,100人,1億
at83s9s,台新綜合證券股份有限公司,證券及期貨業,綜合證券商,暫不提供,62億8000萬元
b7j4cx4,向上國際科技股份有限公司,電腦軟體服務業,遊戲軟體研發,360人,6億
1a2x6bko79,遊戲大麥股份有限公司,多媒體相關業,多媒體相關業,10人,500萬元
cinvfns,台固媒體股份有限公司,電視業,有線電視及寬頻多媒體相關產業,600人,25億
1a2x6biwk1,薩摩亞商鳳之梧數位科技有限公司台灣分公司,其它軟體及網路相關業,其它軟體及網路相關業,470人,暫不提供
1a2x6bio5g,91APP_九易宇軒股份有限公司,網際網路相關業,全球品牌「新零售」浪潮掀起，消費場景重新定義，面對新市場環境與互聯網高速演進，許多零售品牌甚至大型實體門市被迫快速數位轉型。新零售時代，聚焦趨勢放眼未來，91APP以台灣為起點，協助零售品牌全面升級。,400人,2億
1a2x6bktcs,神通網路行銷有限公司,網際網路相關業,網際網路相關業,暫不提供,暫不提供
1a2x6blb00,昇祺有限公司,網際網路相關業,網路相關,10人,暫不提供
10xb8hsw,華翰物產實業股份有限公司,綜合商品批發代理業,國際貿易業,500人,2億3320萬元
1a2x6bkg8c,森亮整合行銷有限公司,其它軟體及網路相關業,其它軟體及網路相關 / 資訊軟體服務業／資料處理服務業業,20人,暫不提供
a4t8g2g,乾義興業有限公司,其他紡織製品製造業,其他紡織製品製造業,30人,暫不提供
1a2x6bip2o,智域國際股份有限公司,電腦系統整合服務業,資訊服務業,40人,8500萬元
1a2x6bixwu,貝里斯商美鉅有限公司,其他投資理財相關業,其他投資理財相關業,暫不提供,1億5000萬元
18opeueo,欣瑞聯科技股份有限公司,其他電子零組件相關業,電子業,1300人,2900萬元
wic70ug,悠遊卡股份有限公司,其他金融及輔助業,電子票證業,暫不提供,7億
bjl4o88,瑞嘉軟體科技股份有限公司,電腦軟體服務業,開發及維護大型跨國網站,200人,暫不提供
1a2x6bldvw,金鴻國際事業有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,1000萬元
1a2x6bj7t9,酷遊天股份有限公司,旅遊服務業,科技旅遊服務業,暫不提供,暫不提供
a9mjfgo,綿春纖維工業股份有限公司,紡織成衣業,紡織製造出口業,480人,5億1395萬元
ai6aqeg,飛雁有限公司,紡織成衣業,貿易,暫不提供,6500萬元
1a2x6bka9a,觔斗雲聯網科技股份有限公司,網際網路相關業,網際網路相關業,暫不提供,1250萬元
wh6po1k,華藝數位股份有限公司,網際網路相關業,數位內容出版及文創產業,150人,2億
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
cv6lny8,致伸科技股份有限公司,電腦及其週邊設備製造業,電腦週邊及通訊,10000人,44億
2d2e7fc,勤誠興業股份有限公司,電腦及其週邊設備製造業,電腦週邊產業,1500人,12億
bjl4o88,瑞嘉軟體科技股份有限公司,電腦軟體服務業,開發及維護大型跨國網站,200人,暫不提供
1a2x6bidoq,犀牛盾_愛進化科技股份有限公司,其他相關製造業,材料科技研發 / 手機週邊配件,220人,1億5000萬元
1a2x6bkgdc,美商泰優股份有限公司台灣分公司,網際網路相關業,網際網路相關業,200人,暫不提供
1a2x6bip2d,勤學科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,10人,暫不提供
10r4uuvc,全曜財經資訊股份有限公司,電腦軟體服務業,網路與軟體服務公司,200人,1000萬元
amzq6ag,台灣西鐵國際物流股份有限公司,儲配／運輸物流業,空運物流業,暫不提供,暫不提供
a6uwhu0,臺南蛋品股份有限公司,農／畜／水產品批發業,洗選蛋、液體蛋等蛋類加工與買賣,60人,2600萬元
1a2x6bj0c3,睿訊有限公司,電腦軟體服務業,資訊軟體,120人,500萬元
1a2x6bjrac,精鏡傳媒股份有限公司,雜誌╱期刊出版業,雜誌／期刊出版業,280人,8億
1a2x6bicuc,望隼科技股份有限公司,醫療器材製造業,專業隱形眼鏡製造商,305人,4億8700萬元
cttnq60,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,人力仲介代徵,人才推薦、代徵與獵才服務,暫不提供,500萬元
1a2x6bjuqa,合邦商網股份有限公司,網際網路相關業,網際網路相關業,50人,8000萬元
1a2x6blev9,盛雅科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
d5ec074,中佑資訊有限公司,網際網路相關業,網際網路相關業,暫不提供,1億5500萬元
nzrr0lc,嘉音股份有限公司,自動控制相關業,製造業,106人,3600萬元
cifpbp4,國泰綜合證券股份有限公司,證券及期貨業,金融證券業,650人,57億9萬元
5ucjyv4,尊博科技股份有限公司,電腦軟體服務業,博弈產業遊戲及商用遊戲機研發及製造,200人,4億
5y95i54,上品房屋_上品國際不動產經紀有限公司,不動產經營業,不動產相關業,20人,50萬元
3ib37s0,兆鼎檢驗科技有限公司,環境衛生及污染防治服務業,職業安全衛生與環保公共衛生服務業,50人,1000萬元
cp8svug,均賀科技股份有限公司,塑膠製品製造業,光學模具，光學4C製品製造業,160人,2000萬元
18n48ptc,台灣大哥大股份有限公司,電信相關業,通信業,3500人,342億
7e7mdgg,南亞電路板股份有限公司(南電),印刷電路板製造業(PCB),電子相關製造業,5500人,64億
m6tycn4,私立東泰高級中學,其他教育服務業,學校及文教機構,120人,暫不提供
abdz5yx,東森購物_電視購物_東森得易購股份有限公司,百貨相關業,批發零售百貨流通業,2200人,40億
d6n3l68,銓宏汽車多媒體科技股份有限公司,汽機車及其零配件／用品零售業,"汽車後市場,汽車電子 汽車雲端互連網  改裝配件 隔熱膜 養護用品 汽車美容用品",180人,2000萬元
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
d8qa7g0,亞洲指標數位行銷顧問股份有限公司,廣告行銷公關業,本公司是國內網路語料大數據分析的領導品牌，資料源包含新聞、週刊、雜誌、論壇、PTT、臉書、IG、Youtube等媒體、平台。應用在政策輿情、商業口碑或消費者研究，都佔有領導的地位。,100人,2800萬元
1a2x6bk977,思納捷科技股份有限公司,電腦軟體服務業,資訊軟體服務業,40人,1億579萬元
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
1hrmizk,和泰汽車股份有限公司,其他汽機車相關業,"服務業,汽機車輛業,總代理",550人,54億6200萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1jjxd3c,第一產物保險股份有限公司,其他保險業,產物保險業,800人,30億1163萬元
d8qa7g0,亞洲指標數位行銷顧問股份有限公司,廣告行銷公關業,本公司是國內網路語料大數據分析的領導品牌，資料源包含新聞、週刊、雜誌、論壇、PTT、臉書、IG、Youtube等媒體、平台。應用在政策輿情、商業口碑或消費者研究，都佔有領導的地位。,100人,2800萬元
1a2x6bkhxg,財團法人旭日教育基金會,其他組織,其他組織,暫不提供,暫不提供
pr194vs,捷安特 YouBike_巨大機械工業股份有限公司,自行車及其零件製造業,"自行車製造, 銷售及服務",2100人,37億5000萬元
1a2x6biqxj,簡單行動支付股份有限公司,網際網路相關業,電子支付服務業,63人,6億1400萬元
1a2x6bjgky,聚達系統股份有限公司,電腦系統整合服務業,提供資訊系統顧問諮詢服務、開源軟體開發應用、DevOps導入、物聯網應用、人工智慧化系統應用服務,30人,3850萬元
18mw4ku8,關貿網路股份有限公司,電腦系統整合服務業,應用軟體服務（ASP）供應業,560人,15億
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
18mw4ku8,關貿網路股份有限公司,電腦系統整合服務業,應用軟體服務（ASP）供應業,560人,15億
18pcqfps,精誠資訊股份有限公司,電腦系統整合服務業,資訊服務業,2000人,26億7000萬元
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
hxvzfrc,李長榮化學工業股份有限公司,化學原料製造業,石化原料的生產製造及銷售,1000人,100億
p398dc,國眾電腦股份有限公司,電腦系統整合服務業,資訊服務業,376人,8億590萬元
d5ec074,中佑資訊有限公司,網際網路相關業,網際網路相關業,暫不提供,1億5500萬元
1a2x6bkc6a,Nexio Technology Limited_睿世軟體科技股份有限公司,電腦軟體服務業,軟體及網路相關業,暫不提供,暫不提供
r712t54,慶豐富實業股份有限公司,綜合商品批發代理業,室內傢飾製造,600人,19億
