公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
10ww9gpk,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),半導體製造業,高科技/半導體業,7131人,659億
1a2x6blah2,資寶科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,18萬元
1a2x6bkygn,紫式大數據決策股份有限公司,工商顧問服務業,工商顧問服務業,11人,900萬元
d6gs5o8,和碩集團_和碩聯合科技股份有限公司,電腦及其週邊設備製造業,電腦及其週邊設備製造業,6000人,220億
1a2x6bipks,POSITIVE GRID_佳格數位科技有限公司,電腦軟體服務業,專業行動裝置產品開發,90人,500萬元
1a2x6bipks,POSITIVE GRID_佳格數位科技有限公司,電腦軟體服務業,專業行動裝置產品開發,90人,500萬元
bjl4o88,瑞嘉軟體科技股份有限公司,電腦軟體服務業,開發及維護大型跨國網站,200人,暫不提供
1a2x6bjgac,竹間智能科技有限公司,電腦系統整合服務業,人工智慧軟體開發及企業系統平台搭建服務,60人,500萬元
wi4quiw,迅得機械股份有限公司,電力機械器材製造修配業,自動化機器設備業,800人,6億300萬元
1a2x6bkirw,杰倫智能科技股份有限公司,電腦軟體服務業,電腦軟體服務業,13人,暫不提供
wgyi22g,賽微科技股份有限公司,其它軟體及網路相關業,嵌入式軟體、語音辨識、語音合成、自然語意理解、AI 人工智慧、IC 音訊處理,50人,1億
1a2x6bl8e6,英屬維京群島商耐思財富投資有限公司台灣分公司,電腦軟體服務業,開發及維護大型跨國網站,暫不提供,暫不提供
cttnq60,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,人力仲介代徵,人才推薦、代徵與獵才服務,暫不提供,500萬元
1a2x6bl7y5,圖策科技股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,1056萬元
1a2x6bkynt,湛積股份有限公司,其它軟體及網路相關業,電機控制及軟體平台開發,60人,3億650萬元
1a2x6bjh37,橋智自動化股份有限公司,自動控制相關業,智能自動化生產技術為發展核心，智能組裝及檢測系統技術開發應用,25人,3000萬元
1a2x6bi7wq,阿福股份有限公司,多媒體相關業,軟體/物聯網/雲端/智慧家庭/居家安全/人工智能/電腦視覺/影像處理,40人,2200萬元
1a2x6bkk5y,伍碩科技股份有限公司,電腦軟體服務業,電腦軟體服務業,5人,2000萬元
1a2x6bkygn,紫式大數據決策股份有限公司,工商顧問服務業,工商顧問服務業,11人,900萬元
112t1ia8,富智康國際股份有限公司(鴻海集團),消費性電子產品製造業,無線通訊產品 / 智能裝置產品 / 穿戴式科技產品,暫不提供,15億
1a2x6bkirw,杰倫智能科技股份有限公司,電腦軟體服務業,電腦軟體服務業,13人,暫不提供
olmlwc8,行動貝果有限公司,數位內容產業,AI人工智慧、雲端服務、自動化數據分析,暫不提供,1億5700萬元
1a2x6biutg,宇辰系統科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,220人,3800萬元
13x18iow,新漢股份有限公司,電腦及其週邊設備製造業,電腦系統業 (工業電腦研發、製造、服務),1000人,13億
1a2x6bjtu2,環球睿視股份有限公司,網際網路相關業,AI人工智慧語意/大數據資料探勘/智慧餐飲零售/智慧新媒體影音串流,暫不提供,1950萬元
1a2x6bk127,立達信光電集團_立信電子科技有限公司,其它軟體及網路相關業,人工智慧與IoT相關軟體開發設計,暫不提供,暫不提供
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bjjlo,意藍資訊股份有限公司,網際網路相關業,資訊服務業,85人,1億7344萬元
7lka688,凌網科技股份有限公司,電腦系統整合服務業,軟體開發設計/系統整合,350人,3億4633萬元
7ere2lk,頎邦科技股份有限公司,半導體製造業,LCD驅動IC封裝測試、捲帶式封裝載板--光電/半導體業,6000人,65億
1plj8dt,臺北醫學大學,大專校院教育事業,大學院校,1700人,暫不提供
1a2x6bk5cu,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
wi4quiw,迅得機械股份有限公司,電力機械器材製造修配業,自動化機器設備業,800人,6億300萬元
fn5mtmo,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,其他電子零組件相關業,電子業,83000人,400億
5t7gcns,Phison Electronics Corp_群聯電子股份有限公司,IC設計相關業,IC設計業,1915人,19億7073萬元
19huomw,工研院 _財團法人工業技術研究院,其他專業／科學及技術業,工商顧問,6200人,暫不提供
12noppgo,聯發科技股份有限公司,半導體製造業,IC設計相關業,16000人,150億
1a2x6bl5f2,AHGTECH BUSINESS PROCESS OUTSOURCING,綜合商品批發代理業,綜合商品批發代理業、投資、線上娛樂,3000人,1億500萬元
7ere2lk,頎邦科技股份有限公司,半導體製造業,LCD驅動IC封裝測試、捲帶式封裝載板--光電/半導體業,6000人,65億
b8d4h6g,域動行銷股份有限公司,廣告行銷公關業,數位媒體科技行銷業,60人,暫不提供
1a2x6biv2q,蘋果芽數位科技股份有限公司,其他教育服務業,其他教育服務業,暫不提供,300萬元
d6od9go,達冠科技股份有限公司,綜合商品批發代理業,居家通風設備,暫不提供,4200萬元
1a2x6bkq4p,台灣伽螞移動數位股份有限公司,網際網路相關業,網際網路相關業、手機遊戲產業,暫不提供,暫不提供
1a2x6bldxr,橋良股份有限公司,電腦軟體服務業,電腦軟體服務業,5人,暫不提供
18n5g7eg,崴強科技股份有限公司,電腦及其週邊設備製造業,電腦及其週邊設備製造業,2400人,16億
233rv1s,鴻海精密工業股份有限公司,消費性電子產品製造業,科技服務相關業,暫不提供,1386億
13quahyo,玉山銀行_玉山商業銀行股份有限公司,銀行業,銀行、證券、投顧、等金融業務,8000人,800億100萬元
