公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
7e13ts8,二十一世紀不動產股份有限公司,不動產經營業,全球最大房仲加盟品牌: 不動產仲介/加盟授權總部,60人,1億
d92vp28,台灣樂天市場股份有限公司,網際網路相關業,網際網路相關業,300人,35億7200萬元
1a2x6blefk,優倍勢台灣股份有限公司,工商顧問服務業,工商顧問服務業,暫不提供,暫不提供
1a2x6bk6ql,享青有限公司,人力仲介代徵,人力仲介代徵,暫不提供,500萬元
10ww9gpk,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),半導體製造業,高科技/半導體業,7131人,659億
d1ywsy8,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,汽機車及其零配件／用品零售業,汽、機車及零配件用品零售／專業維修,1300人,暫不提供
amb3eog,日商倍樂生股份有限公司台北分公司,雜誌／期刊出版業,出版及文化事業,250人,5億
1a2x6blah2,資寶科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,18萬元
am935lk,永豐金證券股份有限公司,證券及期貨業,金融證券業,2100人,162億
1hrmizk,和泰汽車股份有限公司,其他汽機車相關業,"服務業,汽機車輛業,總代理",550人,54億6200萬元
1a2x6bkyy5,毅傳媒控股股份有限公司,電視業,新聞媒體資訊業,暫不提供,暫不提供
18kmrfrk,綠界科技股份有限公司,電腦系統整合服務業,網際網路相關業、金融相關業,180人,1億2800萬元
156tqe2w,新代科技股份有限公司,自動控制相關業,自動控制相關行業,290人,2億3000萬元
wdfgzo0,FUNDAY_智擎數位科技股份有限公司,網際網路相關業,數位內容產業,200人,3100萬元
3igtu1s,皇霖實業股份有限公司,紡織成衣業,紡織相關業,30人,5000萬元
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
1a2x6bj0c3,睿訊有限公司,電腦軟體服務業,資訊軟體,120人,500萬元
7lka688,凌網科技股份有限公司,電腦系統整合服務業,軟體開發設計/系統整合,350人,3億4633萬元
1a2x6bixwu,貝里斯商美鉅有限公司,其他投資理財相關業,其他投資理財相關業,暫不提供,1億5000萬元
1a2x6bip2o,智域國際股份有限公司,電腦系統整合服務業,資訊服務業,40人,8500萬元
1a2x6bk6fu,干城數碼有限公司,電腦軟體服務業,資訊軟體顧問業 - 軟體及網路相關業 - 電腦系統整合服務業,暫不提供,暫不提供
1a2x6bkw89,大牛科技有限公司,廣告行銷公關業,軟體開發,暫不提供,2000萬元
pr194vs,捷安特 YouBike_巨大機械工業股份有限公司,自行車及其零件製造業,"自行車製造, 銷售及服務",2100人,37億5000萬元
dbj2z8w,英屬維京群島商嘉碼科技有限公司台灣分公司,電腦系統整合服務業,遊戲機管理系統,80人,4億1000萬元
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
wic70ug,悠遊卡股份有限公司,其他金融及輔助業,電子票證業,暫不提供,7億
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
1a2x6biwtm,核桃運算股份有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,暫不提供
1a2x6bkuv0,鷗維科技股份有限公司,電腦軟體服務業,電腦軟體服務業,12人,500萬元
1a2x6bla3l,采醫智展股份有限公司,工商顧問服務業,電腦系統整合服務相關,暫不提供,暫不提供
1a2x6bjgky,聚達系統股份有限公司,電腦系統整合服務業,提供資訊系統顧問諮詢服務、開源軟體開發應用、DevOps導入、物聯網應用、人工智慧化系統應用服務,30人,3850萬元
1a2x6bivba,台灣基康股份有限公司,其他醫療保健服務業,其他醫療保健服務業,30人,1億
1a2x6bj968,芸享科技有限公司,網際網路相關業,網際網路/軟體相關業,暫不提供,暫不提供
1a2x6bkspk,富欣發網路科技有限公司,網際網路相關業,網際網路相關業,暫不提供,暫不提供
1a2x6bldq7,和盛創意有限公司,電腦軟體服務業,電腦軟體服務業,100人,暫不提供
5o4hiw0,保吉生化學股份有限公司,其他化學相關製造業,醫療器材/醫藥專業/生化科技業,180人,1億6000萬元
1a2x6bij5q,剛谷科技股份有限公司,電腦軟體服務業,第三方支付服務業、電腦軟體服務業,40人,8000萬元
1a2x6biqxj,簡單行動支付股份有限公司,網際網路相關業,電子支付服務業,63人,6億1400萬元
1a2x6bkxjv,三也科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,500萬元
1a2x6bjlcp,科萊博瑞科技有限公司,電腦軟體服務業,開發及維護大型跨國網站,130人,暫不提供
1a2x6bkcn7,旺淶科技有限公司,其它軟體及網路相關業,其它軟體及網路相關業,20人,500萬元
d5x3ni0,閎博科技有限公司,消費性電子產品製造業,精品家電產品、消費性電子產品製造業-研發、設計、製造、銷售,30人,1500萬元
1a2x6bl676,創昇資訊有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
arzvhqo,(遠東集團)鼎鼎企業管理顧問股份有限公司,電腦軟體服務業,B21 MIS系統整合相關業,160人,4300萬元
dcpsm6o,元太數位科技有限公司,電腦軟體服務業,軟體系統開發與資訊應用服務,17人,500萬元
18n3q7x4,翱騰國際科技股份有限公司,電腦系統整合服務業,系統整合 / 軟體相關業,100人,1億
1a2x6bl85w,動能娛樂股份有限公司,廣告行銷公關業,廣告行銷公關業,暫不提供,暫不提供
150l57q0,安聯人壽保險股份有限公司(總公司),人身保險業,人壽保險業,3300人,288億6700萬元
olt793c,優訊軟體科技有限公司,電腦軟體服務業,電腦軟體服務業,50人,3000萬元
1a2x6biaz4,禾多移動多媒體股份有限公司,數位內容產業,數位內容產業,22人,5284萬元
1a2x6bkwg9,我傳媒科技股份有限公司,數位內容產業,數位內容產業,50人,1億
5vzn1pk,翰丞科技股份有限公司,建築工程業,建築相關業,5人,100萬元
5xunhpc,擎昊科技股份有限公司,電腦系統整合服務業,資訊系統整合服務業,226人,3億6000萬元
d6tk8y0,京站實業股份有限公司,百貨相關業,百貨零售業,245人,暫不提供
1a2x6bldvw,金鴻國際事業有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,1000萬元
1a2x6bio5g,91APP_九易宇軒股份有限公司,網際網路相關業,全球品牌「新零售」浪潮掀起，消費場景重新定義，面對新市場環境與互聯網高速演進，許多零售品牌甚至大型實體門市被迫快速數位轉型。新零售時代，聚焦趨勢放眼未來，91APP以台灣為起點，協助零售品牌全面升級。,400人,2億
1a2x6blafo,烽泰科技有限公司,其他金融及輔助業,其他金融及輔助業,105人,暫不提供
cifpbp4,國泰綜合證券股份有限公司,證券及期貨業,金融證券業,650人,57億9萬元
1a2x6bla3l,采醫智展股份有限公司,工商顧問服務業,電腦系統整合服務相關,暫不提供,暫不提供
abdz5yx,東森購物_電視購物_東森得易購股份有限公司,百貨相關業,批發零售百貨流通業,2200人,40億
1a2x6bjhvb,國際連股份有限公司,網際網路相關業,網際網路相關服務,暫不提供,暫不提供
d5ec074,中佑資訊有限公司,網際網路相關業,網際網路相關業,暫不提供,1億5500萬元
5ucjyv4,尊博科技股份有限公司,電腦軟體服務業,博弈產業遊戲及商用遊戲機研發及製造,200人,4億
d5ec074,中佑資訊有限公司,網際網路相關業,網際網路相關業,暫不提供,1億5500萬元
1a2x6bl5je,玖天富科技股份有限公司,數位內容產業,遊戲軟體相關產業,暫不提供,300萬元
1a2x6bkb9x,希格斯資訊科技有限公司,電腦軟體服務業,電腦軟體服務業、網際網路相關業,暫不提供,暫不提供
aj6iei0,展頌股份有限公司,人造纖維製造業,大型化纖業,360人,22億3727萬元
1jjxd3c,第一產物保險股份有限公司,其他保險業,產物保險業,800人,30億1163萬元
1a2x6bkhxg,財團法人旭日教育基金會,其他組織,其他組織,暫不提供,暫不提供
1a2x6blcxx,豪銳資訊有限公司,電腦軟體服務業,電腦軟體服務業,10人,250萬元
au9s148,德安資訊股份有限公司,電腦系統整合服務業,資訊系統服務業(旅宿飯店/連鎖餐飲),90人,2620萬元
1hrmizk,和泰汽車股份有限公司,其他汽機車相關業,"服務業,汽機車輛業,總代理",550人,54億6200萬元
1a2x6bjjlo,意藍資訊股份有限公司,網際網路相關業,資訊服務業,85人,1億7344萬元
1a2x6bkrny,弈樂科技股份有限公司,網際網路相關業,遊戲、軟體相關產業,120人,6000萬元
wekjlls,華碩雲端股份有限公司,網際網路相關業,雲端儲存平台、物聯網應用平台,暫不提供,5億
sf666f4,翔鑫堡工業股份有限公司,鞋類製造業,鞋類、紡織製品製造業,暫不提供,暫不提供
1a2x6blbq3,原繪美術設計有限公司,網際網路相關業,"軟體服務,網頁設計",暫不提供,暫不提供
1a2x6bixlx,安璞資訊科技有限公司,網際網路相關業,網際網路相關業,55人,暫不提供
1a2x6bk02d,"DENIZEN TECHNOLOGIES,INC",網際網路相關業,網際網路相關業,1500人,6億7000萬元
7prthfk,嘉實資訊股份有限公司,網際網路相關業,資訊相關業,270人,2億6297萬元
aunp60g,崇越科技股份有限公司,其他半導體相關業,半導體材料暨設備業,450人,14億2941萬元
1a2x6bjfan,歐博森科技有限公司,電腦軟體服務業,電腦軟體服務業,100人,2000萬元
1a2x6bl3wa,昱翔多媒體廣告有限公司,廣告行銷公關業,廣告行銷公關業,暫不提供,暫不提供
1a2x6bkmt7,智立杰國際有限公司,工商顧問服務業,廣告行銷公關業,40人,600萬元
1a2x6bip2d,勤學科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,10人,暫不提供
1a2x6bl67g,順豐管理顧問有限公司,網際網路相關業,資訊服務業,30人,100萬元
18n48ptc,台灣大哥大股份有限公司,電信相關業,通信業,3500人,342億
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bldvw,金鴻國際事業有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,1000萬元
1a2x6bkxlt,前思資訊有限公司,數位內容產業,遊戲軟體開發,80人,暫不提供
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
k40bz00,中國航運股份有限公司,儲配／運輸物流業,儲配／運輸物流業,150人,19億7000萬元
b0vkysg,汎宇電商股份有限公司,網際網路相關業,軟體系統業. 網路服務業,70人,5億
17n3i7lk,勤業眾信聯合會計師事務所,會計服務業,法律會計建築事務所,3800人,暫不提供
1a2x6bjjlo,意藍資訊股份有限公司,網際網路相關業,資訊服務業,85人,1億7344萬元
1a2x6biwp4,智保資訊有限公司,網際網路相關業,網際網路相關業,暫不提供,1147萬元
1a2x6bikl6,兆威數位媒體有限公司,電腦系統整合服務業,電腦系統整合服務業,36人,100萬元
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
al7m4s8,鍵瑋企業股份有限公司,綜合商品批發代理業,A01 進出口貿易商,120人,1億8000萬元
7mmueb6,PChome Online_網路家庭國際資訊(股)公司,網際網路相關業,資訊服務業,1900人,11億
wifkjug,亞太電信股份有限公司,電信相關業,電信科技服務業,暫不提供,429億823萬元
15p7an40,東發生物科技製藥股份有限公司,醫療器材製造業,藥品製造業,70人,9419萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bkk0z,信業國際有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
1a2x6bldu6,星擊科技股份有限公司,電腦系統整合服務業,AIoT軟硬體整合解決方案、大數據平台應用整合、企業級應用軟體解決方案、企業系統整合、電腦系統整合,暫不提供,5000萬元
ajnfhyw,群益金鼎證券股份有限公司,證券及期貨業,證券期貨及金融輔助業,2000人,217億908萬元
7jpa44g,聚碩科技股份有限公司,電腦軟體服務業,資訊服務,408人,18億8357萬元
1a2x6bkqzh,康威資訊有限公司,電子通訊/電腦週邊批發業,電腦軟體服務業,30人,暫不提供
ckkyqvc,富邦媒體科技股份有限公司(富邦momo),百貨相關業,電視購物/網路購物/型錄購物,2400人,暫不提供
1a2x6bkofs,將來商業銀行股份有限公司,銀行業,銀行業,暫不提供,100億
7hkh400,鑫承股份有限公司,資料儲存媒體製造及複製業,資料處理服務業,150人,1000萬元
ahfsoq0,廣達電腦股份有限公司,電腦及其週邊設備製造業,電子資訊業,8691人,386億2627萬元
co509rs,泰金寶電通股份有限公司,消費性電子產品製造業,電腦週邊、消費性電子及通訊研發製造相關產業,1132人,40億
7jpa44g,聚碩科技股份有限公司,電腦軟體服務業,資訊服務,408人,18億8357萬元
13quahyo,玉山銀行_玉山商業銀行股份有限公司,銀行業,銀行、證券、投顧、等金融業務,8000人,800億100萬元
1a2x6biwk1,薩摩亞商鳳之梧數位科技有限公司台灣分公司,其它軟體及網路相關業,其它軟體及網路相關業,470人,暫不提供
14vys25k,華泰電子股份有限公司,半導體製造業,(1)積體電路封裝測試製造服務，(2)專業電子製造服務,6500人,55億
abdz5yx,東森購物_電視購物_東森得易購股份有限公司,百貨相關業,批發零售百貨流通業,2200人,40億
10wkoo2w,中華系統整合股份有限公司,電腦軟體服務業,資訊服務業,320人,6億
1a2x6bko3j,布魯科技有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,1200萬元
dakbggo,乂迪生科技股份有限公司,其他教育服務業,教育資訊業、語言服務業、資訊教育服務業、數位網路資訊業,150人,1億1000萬元
7ouuvu8,全聯福利中心_全聯實業股份有限公司,量販流通相關業,流通零售業,23000人,30億
o1voca8,福清營造股份有限公司,建築工程業,營建水泥相關業,200人,4億3245萬元
cinvfns,台固媒體股份有限公司,電視業,有線電視及寬頻多媒體相關產業,600人,25億
1a2x6bko3j,布魯科技有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,1200萬元
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
1a2x6bip2d,勤學科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,10人,暫不提供
cp8svug,均賀科技股份有限公司,塑膠製品製造業,光學模具，光學4C製品製造業,160人,2000萬元
8hu4vsw,有限責任台灣主婦聯盟生活消費合作社,食品什貨零售業,供應環保、健康、安全的食材及生活日用品的消費合作社,500人,3億3000萬元
1a2x6bkg8c,森亮整合行銷有限公司,其它軟體及網路相關業,其它軟體及網路相關 / 資訊軟體服務業／資料處理服務業業,20人,暫不提供
a4t8g2g,乾義興業有限公司,其他紡織製品製造業,其他紡織製品製造業,30人,暫不提供
1a2x6bjuqa,合邦商網股份有限公司,網際網路相關業,網際網路相關業,50人,8000萬元
1a2x6biyl9,倫發科技有限公司,電腦系統整合服務業,資訊顧問服務,70人,暫不提供
10r4uuvc,全曜財經資訊股份有限公司,電腦軟體服務業,網路與軟體服務公司,200人,1000萬元
1a2x6bj7t9,酷遊天股份有限公司,旅遊服務業,科技旅遊服務業,暫不提供,暫不提供
2d2e7fc,勤誠興業股份有限公司,電腦及其週邊設備製造業,電腦週邊產業,1500人,12億
1a2x6bkofs,將來商業銀行股份有限公司,銀行業,銀行業,暫不提供,100億
1a2x6bjrac,精鏡傳媒股份有限公司,雜誌╱期刊出版業,雜誌／期刊出版業,280人,8億
1a2x6bkq6n,主橙資訊科技股份有限公司,電腦軟體服務業,電腦軟體服務業,10人,300萬元
aldnfbc,聯強國際股份有限公司,電子通訊/電腦週邊批發業,資訊、通訊、電子元組件及消電產品之整合型通路服務,5000人,166億7947萬元
9jwyai8,特力集團_特力股份有限公司,綜合商品批發代理業,進出口貿易商,1000人,暫不提供
1a2x6bka9a,觔斗雲聯網科技股份有限公司,網際網路相關業,網際網路相關業,暫不提供,1250萬元
9mb0ddc,北祥科技服務股份有限公司,電腦系統整合服務業,資訊服務業,160人,2億3511萬元
wh6po1k,華藝數位股份有限公司,網際網路相關業,數位內容出版及文創產業,150人,2億
112t1ia8,富智康國際股份有限公司(鴻海集團),消費性電子產品製造業,無線通訊產品 / 智能裝置產品 / 穿戴式科技產品,暫不提供,15億
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
1a2x6bl7te,卓躍有限公司,其它軟體及網路相關業,資訊軟體服務業,暫不提供,暫不提供
1a2x6bk9xc,復旦電競有限公司,電腦軟體服務業,專業遊戲軟體研發,30人,暫不提供
1a2x6bkc6a,Nexio Technology Limited_睿世軟體科技股份有限公司,電腦軟體服務業,軟體及網路相關業,暫不提供,暫不提供
1ksivpc,中國人壽保險股份有限公司(總公司),人身保險業,人壽保險業,13539人,347億
ai6aqeg,飛雁有限公司,紡織成衣業,貿易,暫不提供,6500萬元
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
ai6aqeg,飛雁有限公司,紡織成衣業,貿易,暫不提供,6500萬元
d8qa7g0,亞洲指標數位行銷顧問股份有限公司,廣告行銷公關業,本公司是國內網路語料大數據分析的領導品牌，資料源包含新聞、週刊、雜誌、論壇、PTT、臉書、IG、Youtube等媒體、平台。應用在政策輿情、商業口碑或消費者研究，都佔有領導的地位。,100人,2800萬元
18n48ptc,台灣大哥大股份有限公司,電信相關業,通信業,3500人,342億
13sjiql4,新普科技股份有限公司,電池製造業,電腦週邊相關業,13000人,18億
d08i1go,城堡岩石股份有限公司,其他電子零組件相關業,美國CalDigit品牌在台分公司，主要產品為Thunderbolt 3 技術相關，Mac與Windows筆電周邊產品與存儲設備。,暫不提供,暫不提供
1jjxd3c,第一產物保險股份有限公司,其他保險業,產物保險業,800人,30億1163萬元
1a2x6bkq9l,鼎順數位科技有限公司,數位內容產業, 數位內容產業,50人,200萬元
18m1epvs,研能科技股份有限公司,電腦及其週邊設備製造業,噴墨列印零組件,550人,6億1700萬元
r712t54,慶豐富實業股份有限公司,綜合商品批發代理業,室內傢飾製造,600人,19億
a6uwhu0,臺南蛋品股份有限公司,農／畜／水產品批發業,洗選蛋、液體蛋等蛋類加工與買賣,60人,2600萬元
7jpa44g,聚碩科技股份有限公司,電腦軟體服務業,資訊服務,408人,18億8357萬元
1a2x6blev9,盛雅科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
13n9avfs,錠嵂保險經紀人股份有限公司,人身保險業,人身保險及產物保險業,2220人,7億2000萬元
nsyg63k,台中商業銀行股份有限公司,銀行業,A05 金融証券產險相關業,2500人,370億88萬元
al8tr00,艾奕康工程顧問股份有限公司,建築及工程技術服務業,提供全方位的工程技術及管理服務,350人,9100萬元
1mtr7vs,中信金控_台灣人壽保險股份有限公司,人身保險業,金融保險服務業,2000人,540億
12tgftnk,文曄集團_文曄科技股份有限公司,其他半導體相關業,半導體通路商,2500人,50億
1a2x6blbed,奇界有限公司,電腦軟體服務業,電腦軟體服務業,10人,200萬元
nfpc8rk,嘉里大榮物流股份有限公司,汽車貨運業,運輸倉儲物流,4500人,72億
17jtsu2o,財團法人中華民國佛教慈濟慈善事業基金會,宗教組織,社會福利業,940人,暫不提供
d7hj1wg,都會新貴購物網_祥閎股份有限公司,綜合商品批發代理業,綜合商品批發零售代理業,88人,5000萬元
5y95i54,上品房屋_上品國際不動產經紀有限公司,不動產經營業,不動產相關業,20人,50萬元
1a2x6bjfan,歐博森科技有限公司,電腦軟體服務業,電腦軟體服務業,100人,2000萬元
1a2x6bl8xj,紅石資訊有限公司,電腦系統整合服務業,電腦系統整合服務業,50人,50萬元
7jpa44g,聚碩科技股份有限公司,電腦軟體服務業,資訊服務,408人,18億8357萬元
1a2x6bjfej,17LIVE_英屬維京群島商藝啟股份有限公司臺灣分公司,網際網路相關業,網際網路相關業,350人,3億5450萬元
1a2x6bl8mi,寗檬鐦發有限公司,工商顧問服務業,工商顧問服務業,暫不提供,暫不提供
1a2x6biddf,劉正企業有限公司,鞋類╱布類╱服飾品零售業,鞋類╱布類╱服飾品零售業,50人,1000萬元
cmosksg,瑋旻科技有限公司,光學器材製造業,光學檢測設備製造業,暫不提供,1000萬元
1a2x6bkzym,台灣現觀股份有限公司,電腦軟體服務業,大數據分析、無線通訊核心軟體技術,110人,5000萬元
12qc0sr4,統一期貨股份有限公司,證券及期貨業,金融業,175人,暫不提供
dcq2qds,偉連有限公司,貨運承攬業,海空貨運承攬業,暫不提供,暫不提供
5y95i54,上品房屋_上品國際不動產經紀有限公司,不動產經營業,不動產相關業,20人,50萬元
1a2x6bip2d,勤學科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,10人,暫不提供
1a2x6bip2d,勤學科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,10人,暫不提供
7jpa44g,聚碩科技股份有限公司,電腦軟體服務業,資訊服務,408人,18億8357萬元
at83s9s,台新綜合證券股份有限公司,證券及期貨業,綜合證券商,暫不提供,62億8000萬元
1a2x6bko3j,布魯科技有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,1200萬元
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
fn5mtmo,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,其他電子零組件相關業,電子業,83000人,400億
cikbtiw,Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,電腦軟體服務業,資訊服務業,150人,暫不提供
abf8u9c,合華科技股份有限公司,電腦軟體服務業,醫療軟體研發,70人,1億700萬元
1a2x6bkh81,亞佳資訊有限公司,電子通訊/電腦週邊批發業,資訊服務,暫不提供,100萬元
