公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
fn5mtmo,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,其他電子零組件相關業,電子業,83000人,400億
c3d1254,財團法人綠色和平基金會,國際組織及外國機構,國際性非營利環保組織,100人,暫不提供
db3fpgw,亞典行銷顧問有限公司,廣告行銷公關業,廣告行銷公關業,12人,500萬元
b7j4cx4,向上國際科技股份有限公司,電腦軟體服務業,遊戲軟體研發,360人,6億
1hrmizk,和泰汽車股份有限公司,其他汽機車相關業,"服務業,汽機車輛業,總代理",550人,54億6200萬元
1a2x6bkpc9,閃電俠股份有限公司,網際網路相關業,AmazingTalker - 全球線上外語教師媒合平台,20人,700萬元
20yv4o0,欣臨企業股份有限公司,調味用品製造業,進出口貿易商及亞太區行銷代理,500人,1億2300萬元
1a2x6bjlry,建和國際開發有限公司,其他零售業,購物型網站/電子商務,20人,1750萬元
1a2x6bklkm,思華科技有限公司,電腦軟體服務業,電腦軟體服務業,100人,5000萬元
1a2x6bik9o,海科生技股份有限公司,綜合商品批發代理業,綜合商品批發代理業,暫不提供,暫不提供
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
1a2x6bl5di,浪Live_旭瑞文化傳媒股份有限公司,數位內容產業,資訊軟體/數位內容,200人,1億5000萬元
1a2x6bkaqj,台盈資訊科技有限公司,電腦軟體服務業,電腦軟體服務業,60人,500萬元
1a2x6bjenp,萬達康股份有限公司,綜合商品批發代理業,綜合商品批發代理業,暫不提供,7000萬元
1a2x6bj1pp,費米股份有限公司,電腦系統整合服務業,電腦系統整合服務業,30人,3000萬元
1a2x6bl676,創昇資訊有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
a6sfe9s,微星科技股份有限公司,消費性電子產品製造業,電腦系統製造業,暫不提供,84億4856萬元
1a2x6bkddo,中國信託綜合證券股份有限公司,證券及期貨業,證券期貨業,500人,95億
achjzy8,李奧貝納股份有限公司,廣告行銷公關業,工商服務業 - 廣告代理商,180人,500萬元
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
auzqals,鄉林建設事業股份有限公司,建築工程業,不動產開發、住宅興建、渡假飯店開發、飯店經營,450人,80億2100萬元
13y0k0m0,慧訊國際股份有限公司,網際網路相關業,網際通訊、電子商務、資訊軟體及系統整合,100人,8000萬元
1a2x6blf02,旺德賽斯科技股份有限公司,電腦軟體服務業,資訊軟體服務業,暫不提供,3000萬元
1a2x6bl6ec,代碼科技有限公司,電腦軟體服務業,手遊APP和網頁產品開發和技術諮詢服務,80人,2000萬元
1a2x6bkvhu,台灣資料科學股份有限公司,電腦系統整合服務業,數據分析之大型系統整合商,65人,1億2000萬元
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1a2x6bkrny,弈樂科技股份有限公司,網際網路相關業,遊戲、軟體相關產業,120人,6000萬元
b7j4cx4,向上國際科技股份有限公司,電腦軟體服務業,遊戲軟體研發,360人,6億
1a2x6bi8ln,凡谷興業有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,1億6000萬元
1a2x6bkrny,弈樂科技股份有限公司,網際網路相關業,遊戲、軟體相關產業,120人,6000萬元
1a2x6bl2g9,台北神策諮詢顧問有限公司,電子通訊/電腦週邊批發業,專業的大數據分析平台與解決方案提供服務商,20人,120萬元
1a2x6bldmt,盛和雅股份有限公司,網際網路相關業,網際網路相關業,30人,1000萬元
asvjd8g,煙波大飯店股份有限公司,旅館業,飯店/旅館/餐飲業,700人,2億5000萬元
1a2x6bl2oi,雨林新零售股份有限公司,網際網路相關業,電子商務運營商,150人,1億3900萬元
1a2x6bkuis,環際科技有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,暫不提供
1a2x6bl97m,米約科技有限公司,網際網路相關業,客製化線上軟體研發/線上娛樂平台開發以及其他相關應用軟體服務,10人,200萬元
