公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
b7j4cx4,6q2o4,遊戲機率企劃(PM),"月薪40,000元以上",40000,9999999,遊戲企劃人員/產品企劃開發人員,"1. 負責遊戲企劃提案及執行開發
2. 進行遊戲機率模組設計及驗證
3. 視專案需求進行跨部門溝通與協調
4. 負責遊戲數據分析
5. 需操作遊戲編輯器(Cocos Creator)",1~2人,1年以上,專科以上,數理統計相關/應用數學相關/一般數學相關,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,1. 熟悉Excel操作者佳  2. 具獨立思考能力者佳  3. 具備邏輯概念佳  4. 對博弈遊戲與棋牌類遊戲有興趣者尤佳,11~30人應徵,120.68302,24.1594609
amb3eog,677z4,【巧連智】系統專案管理人員,"月薪25,000~40,000元",25000,40000,資料庫管理人員,1. 專案管理與相關事務協調、委外廠商管理、文件與SOP建立/2. 使用者需求規劃、系統架構與規則之建立、系統功能驗證測試/3. 系統維運、數據管理、資料檢誤、數據分析以支援主管決策/4. 客戶資料分群運用管理以支援營業策略依據,1人,1年以上,專科、大學,數理統計相關/資訊管理相關,None,None,Excel/PowerPoint/Word,,"●善長Office軟體操作, 熟Excel樞紐分析及函數運用、具資料庫、SQL、T-SQL ●具有專案管理、數據分析技能 ●擅長資料處裡、數字統計、分析、具專案管理能力 ●有責任感、態度積極，能獨立解決問題 ●具有良好溝通協調能力 ●耐心、細心、抗壓性高     **薪資會依學經歷核薪**",6~10人應徵,121.5151541,25.0448979
1a2x6bjyr9,5df6t,PHP軟體開發工程師,"月薪40,000~65,000元",40000,65000,Internet程式設計師/軟體設計工程師,"Applicant must be a graduate of Computer Science or any related courses and must possess the following requirements:/•Experience in system development related/•At least 3 years of work experience in the field/•Work related experience in PHP/•Work related experience in HTML5, CSS3, JavaScript/•Work related experience in Code igniter or Laravel framework/•Work related experience in jQuery and Bootstrap/•Experience with version management (Git)/•Experience with database, MySQL/•Can fully understand MVC/•Must be loyal, responsible and hardworking//Addition conditions:/•Experience with database, PostgreSQL, or Oracle/•Experience with project management systems such as JIRA//應徵者須擁有資訊科學或任何相關課程學士學位，並且必須具備以下條件：/•有大型系統開發相關的工作經驗優先/•三年以上相關工作經驗/•有 PHP 相關的軟體開發工作經驗/•有 HTML5、CSS3、JavaScript 相關的工作經驗/•有Code igniter 或 Laravel framework 相關的工作經驗/•有jQuery和Bootstrap相關的工作經驗/•有版本管理經驗（Git）/•具有數據庫，MySQL的經驗/•可以完全理解MVC/•須忠於工作、負責任且勤奮//加分條件：/•具有數據庫，PostgreSQL或Oracle的經驗/•具有項目管理系統（如JIRA）的經驗/",1~5人,3年以上,大學、碩士,資訊工程相關/其他數學及電算機科學相關,英文,聽 /略懂、說 /略懂、讀 /中等、寫 /中等,,,,0~5人應徵,121.5747789,25.0359309
1a2x6bklkm,6c806,iOS軟體開發工程師,待遇面議,0,0,軟體設計工程師,"徵求條件：
- 精通 iOS 程式設計，能獨立完成模組設計和研發，至少3年 iOS 開發經驗
- 熟悉 iOS開發相關程式語言Swift、SwiftUI, Objective-C (我們主要是使用Swift開發)
- 熟悉資料結構、演算法、多執行緒處理
- 熟悉 MVP、MVVM框架
- 熟悉 RESTful API 串接, Json, UIKit, Memory管理與GCD, 對性能優化有深刻的理解
- 熱愛軟體程式設計，責任心強

加分條件：
- 有APP上架作品者優先考慮
- 有SwiftUI與Flutter相關開發經驗者優先考慮
- 有區塊練產品工作經驗者優先考慮

邀請iOS團隊其中一員的觀點大致描述一下此團隊的優缺點(工程師視角)
本職缺優點:
1. 成員都很好相處, 沒有烏煙瘴氣的氣氛
2. 成員皆為熱愛技術的人, 也樂於交流
3. 重視效率與成果, 較沒有過於僵化的表面形式與文化
4. 會議與雜事較少, 時間可以專注於開發

本職缺缺點:
1. 較快速的工作節奏
2. 較具挑戰性的工作內容
3. 團隊成員男性比例過高

由於辦公室位於101大樓, 便利的交通, 舒適的工作環境都是必然的~
免費提供的零食飲料吃到你幸福肥, 喜歡技術或想換工作的夥伴歡迎應徵。",3~4人,3年以上,大學以上,,None,None,iOS/SWIFT/Objective-C,,,11~30人應徵,121.5644722,25.0339639
1a2x6bksif,72bhm,Android開發工程師 Android Developer,待遇面議,0,0,軟體設計工程師/Internet程式設計師/通訊軟體工程師,"*負責公司Android APP開發及更新維護。

工作說明：

1. 負責專案Android APP之開發、維護及後續優化。
2. 與需求單位溝通討論，評估合理性及規劃專案時程。
3. 跨部門、跨職務合作開發上所需項目流程。
4. 其他主管交辦任務。

期望技術：

1. 具備高度開發、調整、編碼優化能力。
2. 熟多線程、SQLite數據庫與精通Android UI庫。，能暸解對象用戶設計原則。
3. 熟悉Js及react native框架。
4. 擅長複雜UI之性能優化。
5. 暸解Android下網路通信機制，對Scoket、TCP/IP、http/https及Json/XML具一定程度。",2~3人,3年以上,大學、碩士,資訊工程相關/商業及管理學科類,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Android/Java/JavaScript/HTTP/TCP/IP,系統架構規劃/系統維護操作/系統整合分析/軟體工程系統開發/軟體品質與保證/軟體程式設計/網路程式設計,1. 3年以上Android APP開發經驗。 2. 曾有金融軟體開發經驗或熟悉區塊鏈技術佳。 3. 技術文檔編寫能力，能獨立編寫專業之軟體設計及開發文檔。 4. 具上架經驗（專案/獨立上架），明白流程及可能產生的問題與處理。 5. 良好的溝通，能互相支援、成長與團隊導向。,0~5人應徵,121.5790844,25.0492674
1a2x6bkpc9,74160,AmazingTalker 行政專員 / 營運長特助  | Executive Assistant / Administrative Assistant,"月薪30,000~40,000元",30000,40000,主管特別助理/行政助理/行政人員,"【 只處理透過以下連結申請的應徵者： https://amazingtalker.breezy.hr/p/e25c608e362b 】

About Us
AmazingTalker 致力建立一個全面的線上學習平台，讓任何人都可以找到合適的家教，在線上學習任何語言和知識。自2016年12月創辦以來，我們在60多個國家和地區，累積超過200,000名註冊用戶。在 2020 年 4 月，更被「親子天下」入選為【教育新創20+】，成為全台最具創新力道的20家教育新創之一。我們目標是成為全球性的新創，讓世界看見台灣。

我們正在招募一位「營運長特助」，負責 AmazingTalker 的行政管理事務，協助營運部們做更有效率的帳務、庶務與人事管理，你將有機會參與優化目前的帳務流程、行政法規等大大小小的行政工作。

About The Team
詳細職缺內容請參考以下連結：
https://amazingtalker.breezy.hr/p/e25c608e362b 


About the Role
作為「營運長特助」，您將會是營運團隊的重要成員，在財務會計方面，您將與專業的財務顧問合作，針對出入帳、應收帳款、合約管理等建立公司的財務報表制度；行政方面，您會協助優化整個公司的行政流程，增加效率，推進AmazingTalker團隊的成長。

「營運長特助」能夠接觸到公司的所有部門及營運流程，我們將給予這個職位極大的成長空間，讓他們能夠從細小的任務處理到大型的國際性專案，並能夠參與整間企業的成長歷程。

如果您有強烈的企圖心在尋找能夠發揮能力的舞台，並渴望親身見證企業的發展，深信加入 AmazingTalker 是能夠達成您的目標的理想地方，歡迎加入我們！

想了解更多 AmazingTalker 的團隊文化？看看我們對伙伴個人特質的要求。


Responsibilities
協助公司內外帳每月財務資料建檔歸檔事宜
協助人資行政等相關支援作業
審核出勤及計薪作業，加退保作業與管理
協助合約管理
協助整理財務、稅務相關憑證及資料核對
協助處理、優化庶務性行政工作

公司福利
‌假期福利

週休二日
每年享有15天的特休假，未來每年多一天・遇國定假日連休不補班
女性同仁每月生理假 1 天
彈性上下班時間
‌
休閒福利
健身設備隨時使用
餅乾泡麵暢吃，飲料免費暢飲
超多站桌、沙發、懶骨頭隨時放鬆
有一隻公司貓『啤啤』偶爾會撒嬌
週一 - 週五提供免費晚餐
年度公司旅行
‌
地點
距離捷運『新北產業園區站』走路 1 分鐘路程
台灣以外國家或地區，可在香港辦公室或遠端工作

學習福利
AmazingTalker線上課程津貼
‌
薪資
了解完整職缺內容及應徵請至：
https://amazingtalker.breezy.hr/p/e25c608e362b 
  
   
",1人,不拘,大學,,None,None,,,We're looking for: 熟悉各個文書軟體（Word/Excel/PowerPoint） 良好的英文能力 有強烈的學習動機，展現強烈的執行力，渴望為長期目標發揮影響力 良好的時間管理能力，能夠同時執行多項任務，並確立優先順序，有需要時能迅速調整 具備良好的溝通能力、能夠清晰表達自己的想法  加分項目 具備會計相關知識背景者 熟悉勞工保險相關法規者,11~30人應徵,121.45942,25.060022
db3fpgw,3lzsw,專案副理(Deputy Account Manager),"月薪30,000~38,000元",30000,38000,行銷企劃人員/活動企劃人員/傳播媒體企劃人員,1. 共同擬訂年度公關策略、企劃提案發想及撰寫。/2. 新聞稿採訪及撰寫。/3. 專案執行、預算控管、結案報告撰寫。/4. 合作廠商協調溝通。 /5. 媒體溝通與連繫。//｛亞典金句｝我們所經歷的一切，都會成為信心的基石。-美國奇異電子前總裁《傑克威爾許》//進一步認識亞典，歡迎至我們的網站 /醫療/醫藥行銷顧問第一品牌 www.edenfront.com.tw,1~2人,2年以上,專科、大學,新聞學相關/醫藥衛生學科類/大眾傳播學相關,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,Excel/Outlook/PowerPoint/Word/Adobe Photoshop/PhotoImpact,行銷製作物規劃與執行/行銷宣傳預算編製與控管/公關活動規劃與執行/公關新聞稿撰寫與報導/活動主持與場控,1. 具一年以上公關經驗，並熟悉公關顧問公司運作流程。 2. 精通中英文聽說讀寫。 3. 專精office電腦文書處理能力。  ,11~30人應徵,121.523986,25.025291
1a2x6bik9o,6jzjz,（國內）軟體業務專員,"月薪36,000~100,000元",36000,100000,產品行銷人員/產品企劃開發人員/國內業務人員,• 負責GMP製程電子化軟體產品業務，包括: eQMS(電子化品質管理系統)、LIMS(實驗室資訊管理系統)、EBR(電子化批次記錄系統)/• 樂於溝通與接受挑戰、邏輯清楚、善於解決問題、高度團隊精神。指揮、協調及協助各項商品的專案導入計畫，技術服務部提供客戶諮詢、維護及教育工作。/• 業務推展與參展，傳達及說明公司各項業務重大訊息、活動及產品。,1~2人,1年以上,大學、碩士,資訊管理相關/市場行銷相關/生物學相關,英文,聽 /中等、說 /中等、讀 /精通、寫 /中等,Excel/Internet Explorer/Outlook/PowerPoint/Publisher/Word/Xmind,,樂於溝通與接受挑戰、邏輯清楚、善於解決問題、高度團隊精神。 需檢附近照相片 熟電腦、GMP產業、品質管理背景優先考慮 。 若有TOEIC、技能相關證照請提供。 參考網址：www.hygene.com.tw,0~5人應徵,121.5400103,24.9847494
1a2x6bjlry,74fi3,內容策劃/內容行銷經理,"月薪50,000~80,000元",50000,80000,行銷企劃主管/品牌宣傳及媒體公關人員／主管/網站行銷企劃,"*擁有流行雜誌編輯、內容電商、相關媒體文字工作者…等相關工作經驗

1.用行銷觀點規劃運營電商流行時尚雜誌與各社群平台
2.統籌各類影音拍攝的內容主題規劃與進行等。
3.透過內容策畫與營銷性話題經營帶來流量，挑戰將流量變現
4.進行網路行銷及服務的成效追蹤與數據分析。
5.媒體關係維繫/新聞稿撰寫/公關活動
6.新型態合作案開發規劃/異業合作開發洽談


必備條件
－高EQ能力 : 幽默擅長溝通與自我管理，面對挫折不氣餒。
－充滿創意與想像力：相互激發創意，喜歡和團隊分享。
－強大數據分析能力 : 以各種數據與消費者分析為基礎，優化平台。

加分條件：
1. 打造過成功的自媒體平台的傳播案例、爆款話題。
2. 擅長整合資源，有策劃執行過中大型線上活動。

*無經驗者,請勿投遞
*有時需加班
*本公司提供的待遇、福利佳
*本公司有良好的升遷管道",1人,5年以上,大學以上,,None,None,Excel/PowerPoint/Word,品牌行銷管理/異業合作規劃與執行/網站企劃能力/網路活動規劃與執行/行銷策略擬定/社群媒體經營管理,需具細心、負責任、執行力,11~30人應徵,121.4600655,25.0491969
b6ctt6w,74c8z,東森寵物-行銷企劃副主管(副理級),"月薪50,000元以上",50000,9999999,行銷企劃主管/行銷企劃人員/活動企劃人員,"東森寵物目前為台灣大寵物實體連鎖通路!
https://www.etipets.com/
https://shopping.etipets.com/

目前直營店數100家以上，此職位需具備50家以上 零售實體店之行銷企劃五年以上相關經驗!

1.負責執行與整合線上線下活動規劃、成效追蹤、分析及提出優化建議。
2.會員之經營及廣告規劃(line生活圈、fb粉絲團...及其他社群平台)與消費行為分析。 
3.每月全省門市主題行銷活動檔期規劃，包含主題活動，商品活動…等。
4.新展店專案企劃與執行、DM、廣告規畫...等。 
5.需具備路邊店門市，相關行銷企劃經驗五年以上經驗者。
6.熱愛動物，有飼養寵物者佳!

",1人,5年以上,專科以上,,None,None,,,,30人以上應徵,121.4657879,25.0423891
