公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
10ww9gpk,6s7d4,"【桃園/台中廠擴大招募】Data Engineer/ SR Data Engineer, Smart MFG & AI",待遇面議,0,0,資料庫管理人員/其他資訊專業人員,"As a Senior Data Engineer at Micron Technology Inc., you will be a key member of our Technology Solutions group within the Smart Manufacturing and Artificial Intelligence organization. The Data Engineering team works closely with Micron’s business functions(Domain expert, Data Scientist..etc) in all aspects of data, like Connect and automate the pipelines, provide data as products building data lake, data warehouse and data mart, and data cleansing and data governance developing Big data engineering, Machine Learning and advanced analytics solutions. We are looking for individuals with strong experience in Big Data and Cloud Datawarehouse technologies. This role will work primarily with Big Data technologies like Hadoop, Cloud data warehouse like Snowflake and GCP, ETL skills like Ni-Fi, Monitoring solutions such as Splunk, automation and machine learning using Python.
 
You will ensure critical projects as well as higher level production support are delivered with high quality and collaboration with internal Micron team members.
 
Responsibilities and Tasks      
•	Clarify project requirements and deliverables
•	Collaborate with Key project partners, Solution analyst and Architect on project needs and translate requirements into technical needs
•	Identify and understand the data sources that are relevant for analysis   
•	Become a subject matter expert in company data sources and visualization options 
•	Consolidate the requirements and using data engineering skills to design a robust DataMart 
•	Participate in design, architecture review and deployment of Big data and cloud data warehouse solutions
•	Design for automation and monitoring mechanism in a continuous integration environment 
•	Implement solutions that eliminate or minimize technical debt through a well-designed architecture, data model, and lifecycle
•	Bring together and share best-practice knowledge among the data engineering community
•	Work with OPS team through operational issues, escalations and resolve business partner issues in a timely manner with strong collaboration and care for business priorities.
•	Collaborate with business partners and other teams to ensure data solutions are available, recover from failures and operate healthy
 
What we are looking for:
•	B.S. degree and above in Computer Science or related fields (Information Engineering, Information Management, Data engineering, Applied Mathematics) 
•	3+ years of experience working with Big Data Solutions development
•	3+ years using ETL tools (NiFi, Informatica, SSIS, Spark…etc) 
•	3+ years developing with relational databases (MS SQL, Oracle, MySQL…etc) 
•	1+ years developing with Machine Learning, Data Analysis Knowledge/Skills
•	Strong application development skills and proficiency with Python, Java, Base shell, SQL…etc 
•	Strong developing applications with Hadoop Eco. Such as Hive, Spark, Kafka, HBase
•	Experience with Cloud services such as GCP, AWS, Snowflake
•	Experience with designing data monitoring dashboards by using Splunk, Tableau or any others visualization tools
•	Experience with web-applications/technologies development and deployment (RESTful services, Flask, Django, SpringBoot and ASP.net…etc)
•	Knowledge about container services such as Docker, Kubernetes, OpenShift is a plus
•	A passion for data and information with strong analytical, problem solving, and organizational skills
•	The ability to work in a dynamic, fast-paced, work environment
•	Self-motivated with the ability to work under minimal supervision
•	On-call support for escalated ticketing handling is expected for customer service 
•	Good communication skills in English or TOEIC 650 and above",不限,3年以上,大學以上,資訊管理相關/資訊工程相關/其他數學及電算機科學相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,***請務必至本公司職缺網站https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=225421&company=micron 應徵本職缺，並附上英文履歷/自傳。謝謝。 ***,11~30人應徵,121.3736985,25.0383964
1a2x6bkgdc,6axve,User Service Analyst-Japanese 使用者服務分析師(客服)-日文,"月薪32,000~45,000元",32000,45000,其他客戶服務人員/電話客服類人員/客戶服務主管,"工作內容：
．使用內部系統以文字或語音回覆解決使用者問題。
．確保客服功能正常運作並持續改善提升。
．提供相關事項的諮詢服務。

為協助客戶處理使用者問題，TaskUs 目前營運模式為全年無休排班，此職位屬客服性質(非博弈產業)需打卡及輪班工作。工作期間為保障使用者隱私及資料安全，恕無法使用手機等電子產品（可於休息時間使用)。排定之班別亦可能會於週末出勤。如遇加班需求，TaskUs採事前徵求個人同意方式，加班費依勞基法計算。
 
歡迎新鮮人投遞！本職務將提供一整個月完整產品及公司訓練課程（日文授課）。舒適的工作環境讓您在工作之餘能夠充分得到休息及放鬆。如您正在找尋穩定工時、學以致用您的語言技能、不超時、下班後無需煩惱公事的工作，亦或者對斜槓人生有所嚮往，這會是值得您參考的工作選項之一。

＊本職務為輪班工作，現行營運輪班末班至晚上10點，如工作時間表有異動，包括週末，假期，及未來可能的夜班輪班，異動將提前告知。",不限,不拘,高中、專科、大學、碩士,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,職位需求： -日文精通(N2 level above) -有客服經驗尤佳 -基本英文能力,0~5人應徵,121.5378624,25.0620999
1a2x6bkgdc,6w33e,User Service Analyst 使用者服務分析師(客服)-英文,"月薪30,000~40,000元",30000,40000,其他客戶服務人員/電話客服類人員/客戶服務主管,"工作內容：
．使用內部系統以文字或語音回覆解決使用者問題。
．確保客服功能正常運作並持續改善提升。
．提供相關事項的諮詢服務。

為協助客戶處理使用者問題，TaskUs 目前營運模式為全年無休排班，此職位屬客服性質(非博弈產業)需打卡及輪班工作。工作期間為保障使用者隱私及資料安全，恕無法使用手機等電子產品（可於休息時間使用)。排定之班別亦可能會於週末出勤。如遇加班需求，TaskUs採事前徵求個人同意方式，加班費依勞基法計算。
 
歡迎新鮮人投遞！本職務將提供一整個月完整產品及公司訓練課程（英文授課）。舒適的工作環境讓您在工作之餘能夠充分得到休息及放鬆。如您正在找尋穩定工時、學以致用您的語言技能、不超時、下班後無需煩惱公事的工作，亦或者對斜槓人生有所嚮往，這會是值得您參考的工作選項之一。
本職務為輪班工作，現行營運輪班末班至晚上8點，未來因應業務擴張亦可能增加輪班班別(諸如晚班、大夜班)，如有異動將提前告知。",不限,不拘,高中、專科、大學、碩士,,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,- 可接受輪班 - 有相關客服經驗尤佳 - 中英文聽說讀寫流利,11~30人應徵,121.5378624,25.0620999
1a2x6bjyjc,74prl,Product Change Notification (PCN) Analyst (Supply Chain),待遇面議,0,0,其他專案管理師,"About the role
The Product Change Notification (PCN) Analyst under Product Planning Fulfillment (PPF) team is coordinating between different functions (Product Planning Fulfillment, Customer Service Center, Product Lifecycle Management, Demand Management) to seamlessly introduce new Sales Item (12NC) version for customers within assigned PCN group.
The PPF PCN Analyst is executing the PPF related tasks and monitors the deadline.

What you will do
Supply Chain Modelling
- Check the overall completeness of supply chain set up
- Maintain specific supply chain parameter for the PCN version group 
- Ensure all setting is correct and no Pre-Define Query (PDQ) error
- Setup the required supply chain for Customer Program (CP) add on/deletion activities

Order Management
- Review for the completeness of the order book transfer
- Resolve and address confirmation error

CP Management
- Coordinate the seamless transition from old to new PCN version
- Ensure that the Customer Specific Warehouse (CSW) inventory reduction to zero for the old Sales item 12NC
- Ensure supply replenishment in line with CP forecast and inventory consumption
- Ensure that dynamic Safety Stock calculation is set up for the new 12NC

What you will need
- Degree in business administration, engineering or equivalent
- Experience in Supply Chain Management
- Fluent in English written and oral
- Knowledge in Excel, Word, Power Point
- Logical thinking, able to explain what is the problem, propose the needed solution to resolve issue
- Able to work in cross-functional and multi-cultural teams
- Strong communication & interpersonal skills
- Self & Process driven
- Pro-active and driving for deadline
- Good stakeholder Management",1人,不拘,大學以上,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,,0~5人應徵,121.6129927,25.0587767
1a2x6bjyjc,74pr5,PPF Project Analyst (Supply Chain),待遇面議,0,0,其他專案管理師,"About the role
The Project Analyst under the function of Product Planning Fulfillment (PPF) is responsible, manages and participate in Supply Chain Management (SCM) related projects, process improvements, sustaining to a successful execution and completion on time.

What you will do
- Responsible, manage and participate in supply chain related projects (including process improvement, efficiency) from initiation till concept/project closure.
- Be able to review and analyze project plans to discuss and arrange on resource needs, assign work packages within project.
- Report project progress using milestones towards stakeholders.
- Monitor project timeline.
- Be responsible for project documentation.
- Attend for yearly audit programs such as IATF, customer MMOG.
- Review and maintain the standard work document to align with the current/improved processes.

What you will need
- Degree in business administration, engineering or equivalent
- PMP/PMI certification preferred
- Experience in project management
- Fluent in English written and oral
- Knowledge in Excel, Word, Power Point
- Show initiative, take ownership and driving for deadline
- Able to work in cross-functional and multi-cultural teams
- Excellent communication and presentation/moderator skills
- Strong analytical skills
- Independent / decision-making ability",1人,不拘,大學以上,,None,None,,,https://nexperia.wd3.myworkdayjobs.com/careers/job/Taipei/PPF-Project-Analyst_R-20003648,0~5人應徵,121.6129927,25.0587767
auxx12g,73n9c,RD20466 Data Analyst,"月薪40,000元以上",40000,9999999,統計學研究員/市場調查／市場分析/統計精算人員,"1.Responsible for end-to-end data analysis process, including integrating mega dataset, ETL (Extract-Transform-Load), analysis, modeling, visualization and present data insight.

2.Design and develop understandable and insightful dashboards for internal business unit and global users
Integrate customer 360 views by using customer behavioral data, transaction record, marketing campaign log, Google Analytics 360, device record, etc.

3.Provide analytics support and recommendations to facilitate data-driven decision making, performance measurement and tracking of key business metrics 

4.Identifying, designing, and implementing analytical process improvements, including programs, store procedures and dashboards.

5.Ensure quality and data integrity in daily SQL/python job or BI solution.",1人,1年以上,大學、碩士,統計學相關/資訊管理相關,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,Python/MySQL/Tableau,,薪資會依學經歷背景及相關工作經驗核薪,11~30人應徵,121.515018,25.1151759
1a2x6bl4ze,74cdk,Marketing Analyst,待遇面議,0,0,行銷企劃人員/市場調查／市場分析/行銷企劃助理,"[Purpose]

Supports and uses professional knowledge in promoting production and marketing activities for an assigned region or product. Creates marketing materials, plans and performs marketing activities for an assigned region and product. Analyzes market data to monitor performance of the marketing activities and plans.

[Key Responsibilities]

1.	Perform Analytical Reporting at both the customer and Business Unit level to support Customer Programs, Promotions, and Projects.

2.	Use decision management and database tools, to recommend pricing for Asia market, actively ensure products and markets are set up properly, for market appropriate products and pricing.

3.	Implement pricing using established pricing logic, policies and procedures, and perform scheduled pricing maintenance to include entering pricing data, managing catalog publication, and relaying data integrity issues to the appropriate department to ensure timely and accurate information to the customer.

4.	Coordinate and assist with product launch activities including pricing and publication of new products, documentation and communication of pertinent information required for successful product launches to enable achievement of the business commitment for those products.

5.	Recommend, implement, and monitor, continual improvement/quality initiatives, policies and processes in order to achieve quality and profitability goals.

6.	Performs other projects, work and activities as assigned to ensure continuous service to our internal and external customers.",1人,2年以上,大學以上,商業及管理學科類,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,Excel,,"- 2+ years of analytical planning and marketing - Strong Microsoft EXCEL skill - Detailed orientation - Excellent verbal, written and presentation communication skills - Ability to analyze and interpret market data - Problem solving skills - Project Management skills  - Excellent interpersonal skills to foster internal and external contacts ",11~30人應徵,120.5283684,24.2349206
1a2x6bk07z,6mbgo,Investment Analyst,待遇面議,0,0,金融研究員/統計精算人員,"- Identification of investment opportunities, commercial and formal due diligence review, negotiation and structuring in respect of such investment opportunities/- Preparation of investment cases and presentations for investment committee approval/- Financial and strategic analysis of existing and potential investments, including financial modeling and market research/- Oversee the asset management function of portfolio assets including regular reporting/- Assist Vena Energy in all areas of the project development and execution process, including but not limited to documentation, presentation material preparation, and project financing/- Creating and marketing future opportunities/",1人,2年以上,大學以上,商業及管理學科類,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,VBA/Excel/Outlook/PowerPoint/Word,,"- Fluent in Mandarin and English - Ability to work well in a lean investment team and under pressure - Experience in Microsoft Office Suite (PowerPoint, Excel, Word) (VBA is a plus)",11~30人應徵,121.5668964,25.0405044
oi77qwg,72pjq,Data Analyst,待遇面議,0,0,統計學研究員/數學研究員,"Job Description:
1. Conduct data analytics to investigate risk associated issues.
2. Build up auto-detection tools for abnormal users.
3. Analyze and interpret data to identify significant differences of players.
4. Report results of statistical analyses.
5. Back-end data programmer for dashboard.",1人,2年以上,碩士以上,統計學相關/數理統計相關/應用數學相關,None,None,R,,"Requirements: 1. Excellent statistical and mathematical knowledge 2. Great analytical skills, problem-solving and critical thinking 3. Good at programming in R 4. Familiar with using SQL 5. Highly stress resistant 6. Great communication and teamwork skills ",11~30人應徵,121.5735718,25.0793047
1a2x6bk07z,7413f,Treasury Analyst,待遇面議,0,0,財務分析／財務人員/記帳／出納／一般會計/主辦會計,"1.	Manage and monitors cash balance and cash requirement; initiate funds flow process working and reflect in system in time.
2.	Perform annual budgeting and monthly forecasting for cash flow
3.	Arrange cash distribution as per regulation
4.	Cooperating with financing bank
5.	Execute internal audits annually
6.	Involved in the process of TW investment structure optimization
7.	Prepares required government reports as directed by the CFO and responds to inquiries as necessary
8.     Other duties assigned by manager",1人,1年以上,專科以上,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,"1. Good excel to manage financial data budget/forecast  2. Working knowledge of company law and tax law 3. Familiar with system operation  4. Able to work under pressure and like to take challenges 5. Excellent analytical, organizational, and problem-solving skills 6. Fluent English to communicate with overseas for global exposure.",11~30人應徵,121.567154,25.040512
