公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
12noi188,732hf,博士級製程工程師 - 竹科 (蝕刻 Etch),待遇面議,0,0,半導體製程工程師/生產技術／製程工程師/產品售後技術服務,"Develops new or modified process formulations, defines processing or handling equipment requirements and specifications, and reviews processing techniques and methods applied in the manufacture, fabrication, and evaluation of products. Involvement may begin at any step from pilot plant to full-scale manufacturing. Coordinates design requirement review with appropriate engineering/scientific personnel to ensure compatibility of processing methods. Compiles and evaluates test data to determine appropriate limits and variables for process or material specifications. May conceive and plan projects involving definition and selection of new concepts, equipment automation technology, and approaches in the processing or development of new or improved processes.


Major roles and responsibilities:
•	Responsible for performing professional process engineering research, design, development, modification, and evaluation. 
•	Support the company’s complex semiconductor capital equipment and systems, including cutting edge plasma dielectric etcher, advance electrodes for plasma density control, and multi-layer power delivery system. 
•	Determine process approaches and parameters. Review and evaluate processes. Generate or direct process activities and verify accuracy of final documentation. 
•	Analyze and select components and equipment, as well as evaluate supplier capabilities. Design and conduct independent experiments or tests. 
•	Define problems and objectives, develop approach, analyze results and provide recommendations. 
•	Direct the implementation of required changes or modifications. Plan, conduct, and technically direct moderately complex projects. 
•	Write and analyze Action Requests/Equipment Changes Notices. ",5~6人,不拘,博士,化學工程相關/材料工程相關/物理學相關,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,"Qualifications: •	Must have a PhD degree in the following fields (but not limited to) Chemical Engineering, Electrical Engineering, Physics, Chemistry, Materials Science or a related field, or master’s degree with 3+ years of experience in process engineering.  •	Areas of study or experiences:  - Design of Experiment (DOE); data analysis; semiconductor fabrication; and, plasma physics, plasma chemistry, or plasma reactors.   - Wafer cross section techniques; wafer fabrication processes; ion transport phenomena; dynamic random-access memory (DRAM); plasma etching; plasma simulation; semiconductor physics; semiconductor thin film deposition; Atomic Layer Deposition (ALD); 3D NAND Flash; Chemical Vapor Deposition (CVD); and/or Plasma Enhanced Chemical Vapor Deposition (PECVD).   - Transmission Electron Microscopy (TEM); Scanning Electron Microscopy (SEM); Critical Dimension SEM (CD-SEM); Energy Dispersive X-ray Spectroscopy (EDS); Focused Ion Beam (FIB); Atomic Force Microscopy (AFM); X-ray Diffraction (XRD); Emission Spectroscopy; Raman Spectroscopy; Spectroscopic Ellipsometry; Quartz PCI; and/or Fourier Transform Infrared Spectroscopy (FT-IR).   - Matlab; Labview; JMP; Hybrid Plasma Equipment Model (HPEM); Mathematica; or Origin.   Preferred Qualification  •	Familiarity with working in a chemical laboratory. •	Experience in surface preparation and analytical techniques. •	Working knowledge of Statistics Process Control (SPC), Design of Experiments (DOE), Failure Mode Effect Analysis (FMEA), Root Cause-Corrective Action (RCCA), 8D & 5-Whys Problem solving •	Strong organizational skills and demonstrated ability to manage multiple tasks simultaneously and ability to react to shifting priorities to meet business needs and deadlines. •	Excellent people skills with demonstrated ability to work effectively and efficiently with diverse teams, customers, internal and external partners. •	Collaboration/ Matrix environment mindsetLI-LH1  •	Prior experience with MS office tools (ppt, excel, project), statistical tools (JMP, Minitab etc.) •	Previous experience in cross-functional project management •	Previous experience leading technical projects •	Strong project management, communication, analytical, and problem-solving skill •	Effectively read, write, and communicate with others in English •	Comfortable with travelling ",30人以上應徵,121.0023134,24.7792179
10ww9gpk,6s7d4,"【桃園/台中廠擴大招募】Data Engineer/ SR Data Engineer, Smart MFG & AI",待遇面議,0,0,資料庫管理人員/其他資訊專業人員,"As a Senior Data Engineer at Micron Technology Inc., you will be a key member of our Technology Solutions group within the Smart Manufacturing and Artificial Intelligence organization. The Data Engineering team works closely with Micron’s business functions(Domain expert, Data Scientist..etc) in all aspects of data, like Connect and automate the pipelines, provide data as products building data lake, data warehouse and data mart, and data cleansing and data governance developing Big data engineering, Machine Learning and advanced analytics solutions. We are looking for individuals with strong experience in Big Data and Cloud Datawarehouse technologies. This role will work primarily with Big Data technologies like Hadoop, Cloud data warehouse like Snowflake and GCP, ETL skills like Ni-Fi, Monitoring solutions such as Splunk, automation and machine learning using Python.
 
You will ensure critical projects as well as higher level production support are delivered with high quality and collaboration with internal Micron team members.
 
Responsibilities and Tasks      
•	Clarify project requirements and deliverables
•	Collaborate with Key project partners, Solution analyst and Architect on project needs and translate requirements into technical needs
•	Identify and understand the data sources that are relevant for analysis   
•	Become a subject matter expert in company data sources and visualization options 
•	Consolidate the requirements and using data engineering skills to design a robust DataMart 
•	Participate in design, architecture review and deployment of Big data and cloud data warehouse solutions
•	Design for automation and monitoring mechanism in a continuous integration environment 
•	Implement solutions that eliminate or minimize technical debt through a well-designed architecture, data model, and lifecycle
•	Bring together and share best-practice knowledge among the data engineering community
•	Work with OPS team through operational issues, escalations and resolve business partner issues in a timely manner with strong collaboration and care for business priorities.
•	Collaborate with business partners and other teams to ensure data solutions are available, recover from failures and operate healthy
 
What we are looking for:
•	B.S. degree and above in Computer Science or related fields (Information Engineering, Information Management, Data engineering, Applied Mathematics) 
•	3+ years of experience working with Big Data Solutions development
•	3+ years using ETL tools (NiFi, Informatica, SSIS, Spark…etc) 
•	3+ years developing with relational databases (MS SQL, Oracle, MySQL…etc) 
•	1+ years developing with Machine Learning, Data Analysis Knowledge/Skills
•	Strong application development skills and proficiency with Python, Java, Base shell, SQL…etc 
•	Strong developing applications with Hadoop Eco. Such as Hive, Spark, Kafka, HBase
•	Experience with Cloud services such as GCP, AWS, Snowflake
•	Experience with designing data monitoring dashboards by using Splunk, Tableau or any others visualization tools
•	Experience with web-applications/technologies development and deployment (RESTful services, Flask, Django, SpringBoot and ASP.net…etc)
•	Knowledge about container services such as Docker, Kubernetes, OpenShift is a plus
•	A passion for data and information with strong analytical, problem solving, and organizational skills
•	The ability to work in a dynamic, fast-paced, work environment
•	Self-motivated with the ability to work under minimal supervision
•	On-call support for escalated ticketing handling is expected for customer service 
•	Good communication skills in English or TOEIC 650 and above",不限,3年以上,大學以上,資訊管理相關/資訊工程相關/其他數學及電算機科學相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,***請務必至本公司職缺網站https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=225421&company=micron 應徵本職缺，並附上英文履歷/自傳。謝謝。 ***,11~30人應徵,121.3736985,25.0383964
1a2x6bj18n,72tx1,Program Manager Senior(Cost Reduction) Fixed Term 12 - 18 months,待遇面議,0,0,專案管理主管/其他專案管理師,"Please apply here: https://apac-zebra.icims.com/jobs/90535/cost-reduction-program-manager%2c-senior%28fixed-term-12-months%29/job?mode=view

At Zebra, we’re reinventing how businesses operate at the enterprise edge - helping them run faster, smarter, and more connected than ever before. 

A dynamic community of builders, doers and problem solvers, we each play a unique role - shaping new technologies, bringing solutions to market, and partnering with companies on the front line of business. 
It means growing into a leader at a leading company that makes a distinct difference - because together, we’ve only just begun.

Build Today. Create Tomorrow. 
Join a team of builders, doers and problem solvers.

Join Zebra.

OVERVIEW
The role is required to handle low-level, simple programs consisting of multiple, small projects. Coordinates departmental or cross-functional teams, focused on delivering new or upgraded existing products or services. Runs programs from inception to completion (or transition), including tracking and evaluation of program performance. Ensures that programs are completed on time, within budget, and within accepted quality metrics by handling through Project Managers, each responsible for leading an aspect of the program.


ABOUT THE ROLE:
The cost reduction team has the mandate to seek out, promote and implement cost reduction opportunities for terminals and accessories. We support procurement and engineering teams in implementing cost reduction ideas by leading the project teams. The role requires good knowledge of project management principles coupled with experience in hardware design/development and quality assurance. The PM is responsible for working with the JDMs, internal Zebra resources and third party suppliers to ensure each project has a defined budget, schedule and quality assurance plan. Tracking program progress and proactively identifying risks and issues is a key requirement to stay on schedule and budget.

-  Manages the development and implementation of a company's products and services to success
-  Monitor the program from initiation through delivery including planning and directing schedules and overseeing budget/spending. Gathers inputs and acts independently to develop a Project Plan for projects of various scope which may include novel products or services.
-  Gathers status updates from the project team and interprets inputs to assemble a consolidated view of status. Provides regular status updates to senior management as directed. Status reports are expected to be concise summaries, tailored to the audience. Owns ensuring alignment from key leaders of milestone achievement before moving the program forward
-  Demonstrates the ability to see cross-functional impacts of decisions and project plans and execution. Balances scope, schedule and budget considerations to adjust the project with minimal impact to the business. Understands the business objectives of the program and assumes personal accountability for success of the program against those objectives

ABOUT YOURSELF
You should be a results oriented person with an eye for business, ability to lead, delegation, follow up and strong communication.


QUALIFICATIONS
-  Bachelor's degree
-  5-8 years experience
-  Collaborate effectively with proven interpersonal skills. Critical to build and sustain relationship with development partners
-  Possesses dynamic presentation skills. Confirmed amenity in presenting to mid to senior level multi-functional audiences.
-  Demonstrated working understanding of advanced concepts with program management approaches, tools and methodologies. PMP certification highly desirable
-  Strong experience of technical business unit assigned to (Engineering, Supply Chain, etc.)

ZEBRA BENEFIT PACKAGE 
We offer competitive pay, bonuses, benefits, career/personal growth and work/life programs to ensure that you are empowered to succeed as a member of the Zebra family!",1人,6年以上,大學,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,,11~30人應徵,121.5649069,25.0396773
12noi188,6y1uv,製程工程師 - 后里 (蝕刻 Etch),待遇面議,0,0,半導體製程工程師/生產技術／製程工程師/產品售後技術服務,"Technical/1.Responsible for completion of process support and installation of Lam equipment at customer sites. This includes evaluation and documentation of process outputs of hardware modifications/upgrades to existing systems. /2. Setup and complete experiments, collect data and generate reports for both internal and external distribution./3. Design and complete DOE (Design of Experiments) evaluations to characterize process window for new installations or Lam recommended field hardware modifications/ upgrades. /4.Develop new processes for small variants to existing customer applications./5. Conduct experiments and tests, collect and analyze data and generate reports for both internal and external distribution./6. Work with senior engineers and customers to understand customer technology roadmaps, process flow, inflection points, requirements and business issues/ challenges. /7. May develop new processes for small variants to existing customer applications./8. May recommend / initiate escalations and quality investigations./9. Present technical and marketing materials to a high standard./10. Any other duties as assigned by the immediate supervisor.//Customer Relation/1. Develop good customer relations during start-up and trouble-shooting; Work closely with customer to understand customer issues and demands./2. Professionally represent the company to the customer. 3.Utilize knowledge of company’s product lines and services to keep existing / potential customers informed when new/additional needs are identified./4. Maintain company’s assigned equipment (computer, tool kit, diagnostic test equipment, spare parts etc.) in good working condition, accounted for and secure./5.  Can support process projects and manage customer and product group to drive to closure.",1人,不拘,碩士以上,化學工程相關/材料工程相關/物理學相關,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,"1. MS or BS in Electronics, Chemistry, Physics, Material Science or related field. 2. Prior work experience not required. 3. Ability to use computer applications, including data analysis tools, word processing, spreadsheet, and presentation software.   4. Ability to work independently or as part of a team and follow through on assignments with minimal supervision.   5. Ability to complete assignments with attention to detail and high degree of accuracy.  6. Excellent communication and customer relations skills.  7. 3D NAND experience is plus  擁有TOEIC 或 TOEIC Bridge且英語條件符合本職務需求者優先面試",30人以上應徵,120.6424333,24.1769764
18n64g34,6tljd,E8131 企業客戶事業群 - 資深業務(高雄),待遇面議,0,0,國內業務人員,"1. 開發暨維護南部地區企業客戶需求，確保營收持續增長並創造更高業績。
2. 提供企業客戶專業的顧問式服務，協助挖掘痛點，導入提升營運效率及創新商轉之技術應用，包含軟體與硬體整合，資通訊解決方案（ICT）、物聯網（IoT）、雲端（Cloud）、數據分析（Big Data）、使用者導向、使用情境、應用規劃等，執行整合概念之銷售模式，提供企業客戶完整的解決方案。",不限,1年以上,專科、大學、碩士,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,1. 具政府標案投、開標實戰經驗者佳。 2. 具電信或系統整合業務工作經驗者佳。 3. 熟悉固網及行動網路相關電信產品者佳。 4. 主動積極，對業務相關工作有高度熱忱及企圖心。 5. 擅長與人溝通協調，熟悉簡報技巧及客戶關係管理。,30人以上應徵,120.314803,22.582804
1a2x6bj2ma,74cdz,資深應用工程師 Senior Application Engineer,待遇面議,0,0,電子工程師/電子產品系統工程師,"The Role
OptimalPlus is now NI. NI OptimalPlus Solution is a Big Data analytics software that provides end-to-end solutions enabling automotive, semiconductors and electronics brand owners to protect the product quality and enhance their brand reputations in the market. 

Application engineer (AE) in NI OptimalPlus works as part of a dynamic team, while the role is truly an individual contributor, a high degree of customer interaction and teamwork is required to be effective in the role. Senior AE is responsible for ensuring the value delivery of NI OptimalPlus solutions to the customer and optimizing the use of tools for the customer. As a senior application engineer, you must have a solid understanding and appreciation for critical aspects of yield, quality, reliability, and throughput in a high-volume manufacturing environment. This role involved with demo to initiate upsell or new leads and do pilot to win the deal by solid ROI providing and act as the focal point for escalations by customers which are assigned to him as such he centralizes and prioritizes those requests and deliver timely solutions.

Key Responsibilities
•	Develop rules (using OT-Rules, an expert rules-based engine) that will insure the improved operational efficiency of the customer’s distributed test operations. 
•	Identify opportunities, as a result of real production observations, for improved yield, quality, reliability and operational efficiency and articulating those opportunities to the customer. 
•	Develop and maintain a deep technical understanding of NI OptimalPlus software applications to effectively support NI OptimalPlus customers. 
•	Work with NI OptimalPlus Product Management, Sales and Marketing to understand and define customer enhancement requirements and requests to current and future NI OptimalPlus applications. 
•	Ensure that every customer is treated professionally and with respect 
•	Define Priorities for his account (day to day support, new functionalities, training, up sale activities)
•	Responsible for ROI summary reports for his customer account.
•	Attend escalation meetings with customers face to face, set an improvement plan
•	Responsible for technical expertise of his customer
•	Accountable to grow his account measured in Quarterly Business Review (Customer satisfaction, Return on Investment, Response rate, Up-sale/contract renewal) 
•	Act as a customer advocate to NI OptimalPlus Product Management and R&D 

Key Performance Objectives
•	Maintain customer KPI
•	Create ROI for customer
•	Win pilot or upsell deal
•	Deliver training and application projects
•	Customer satisfaction

Qualifications and Skills

Basic Qualifications
•	Bachelor or master’s degree in electrical engineering, Computer Science, or related field
•	5 to 8 years of experience at Fabless or Test House companies on Yield/Product/Test aspects as application or product engineer
•	Experience and knowledge of semiconductor manufacturing and test operations, and use of data analytics and/or business intelligence applications in test operations, yield, efficiency, and quality
•	Strong knowledge of C#(.NET)/R/JavaScript/Java/C/C++/Python or equivalent programming languages
•	Proficiency in JMP, Excel, or other analysis tools

Preferred Qualifications
•	Familiarity with multiple data file formats but not limited to XML, XSD, STDF, and CSV
•	Working knowledge using online tools to troubleshoot software and hardware interoperability problems
•	Knowledge of and use of enterprise data analytics and/or enterprise business intelligence applications in achieving business value a plus
•	Experience working in a highly secure environment
•	Familiar with test platform especially TP development and debug incl. Advantest, Teradyne, NI, etc.

If you're interested to apply, please drop your resume here : https://pef.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/1421/?utm_medium=jobshare",1人,5年以上,大學、碩士,,英文,聽 /中等、說 /精通、讀 /中等、寫 /中等,C/C#/C++/C++.Net/Java/Python/JavaScript,,,6~10人應徵,121.5482467,25.0217501
wi76gug,5f7sg,水晶軒專櫃人員(高雄義大店櫃)底薪固定13個月+獎金,"月薪30,000~50,000元",30000,50000,門市／店員／專櫃人員,"百貨公司專櫃人員(試用期保障薪資)
1.負責介紹及銷售商品。 
2.提供顧客之接待與需求服務。 
3.負責商品進貨入庫、銷售管理及庫存管理。 
4.負責商品包裝、陳列及促銷品換檔工作。 
5.維持店櫃週遭之整潔。",不限,1年以上,高中以上,,None,None,,,"1.高中、職以上畢 2.曾服務於百貨公司或門市從事銷售1年以上經驗 3.需對流行配飾有高度敏銳度者 4.可接受公司長期培訓者 5.諳電腦操作,略懂英文者尤佳 6.工作積極,良好服務熱誠及態度  通過申請這份工作, 閣下即明白及接受個人資料保護原則, 閣下可瀏覽以下鏈接以進一步瞭解資料保護同意聲明書。https://www.swarovskigroup.com/S/careers/data_protection_consent_statement_tc.zh.html",30人以上應徵,120.4242401,22.708371
webvtu8,74dcd,【知名醫藥生技】急徵~Jr. Engineer~暫定8個月..............amy,"月薪40,000~50,000元",40000,50000,自動控制工程師/機械工程師,"【工作內容】
1.New ERP system deployment
   部署新的ERP系統
2.Support Enterprise Asset Management System (EAMS) integration/migration
  支持企業資產管理系統（EAMS）集成/遷移
3.Data review and transfer for preventive maintenance and calibration activities
  進行數據審查和傳輸以進行預防性維護和校準活動
4.Inventory count for spare parts and data management in system
  系統中備件的庫存盤點和數據管理
5.Support process optimization for engineering activities .
   支持工程流程的優化活動


【具備條件】
1.Able to work in a collaborative manner in a team environment	
  能够在團隊環境中以合作的管道工作
2.Able to work in structured, organized manner	
  能够有條理、有條理地工作
3.Able to support the team with minimal supervision		
  能够在最少的監督下支持團隊


【工作地點】
新竹縣新豐鄉

*該職務暫定派遣8個月，請詳閱履歷後，再投遞謝謝*
",1人,1年以上,大學,電機電子工程相關/資訊工程相關/工業工程相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,,0~5人應徵,120.9991032,24.9132859
d21bcow,6znpv,AML Name Screening Team Lead,待遇面議,0,0,財務或會計主管/專案管理主管/金融專業主管,"1.	Manage name screening team to perform the screening alerts and meet alerts review standard and SLA timeline.
2.	Ensure the compliance of Citi procedure and policy, regulatory requirement.
3.	Conduct quality review for the team.
4.	People management and training.
5.	Team MIS and productivity tracking.
6.	Work closely with region and local AML compliance, identify the AML risk and report relevant issue to region and local AML/Risk committee. 
7.	Support AML related projects.
8.	Efficient communicating with region and country stakeholders on any issue related.",1人,8年以上,大學、碩士,商業及管理學科類,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,"1.	8 years of relevant banking experience 2.	Strong Knowledge of Compliance, Customer Due Diligence, AML policy and banking industry. 3.	Excellent interpersonal skills and the ability to interface and partner with related businesses 4.	Demonstrated ability to work independently and interact effectively. 5.	Project management experience is a must 6.	Strong English in reading, listening, speaking and writing 7.	Advanced knowledge of MS Office, including proficiency in Excel  8.	Strong analytical skills to interpret data and information 9.     The ability to work effectively, under pressure as well as in a rapidly changing environment.",6~10人應徵,121.5427093,25.0792018
ck7gt1k,3ybsr,《桃園市》APPLE專賣店-銷售專員,"月薪24,500~45,000元",24500,45000,產品行銷人員/門市／店員／專櫃人員/國內業務人員,我們的願景：成為最受客戶信賴的3C精品品牌//工作內容：/1. 門市日常營運，銷售Apple 全系列產品、副廠產品及公司主推產品，以利業績達成。/2. 產品諮詢及專業建議、售後服務與產品保固、裝置保險等…介紹。/3. 確保門市賣場的產品安全性與環境清潔度，符合原廠稽核規範。/4. 商品上架、陳列、盤點、收銀、換貨、改裝、開幕/5. 秉持卓越的服務精神，用心款待每一位顧客。/6. 配合公司商圈規劃進行分發與輪調歷練。/7. 主管交辦事項、門市行政工作。//排班制:/早班 11:00AM、晚班 13:00PM、全天班(平均一個月10天，視店點排班需求而訂)。//歡迎具有電信業門市經驗、3C產品銷售門市經驗者，薪資待遇另議。,2~5人,不拘,高中以上,,None,None,Apple/Mac OS/Windows XP/Android/iOS,,1)具服務業或門市銷售經驗佳。 2)具團隊合作精神。 3)可配合公司派任門市及臨時性支援輪調(桃園地區)。 4)抗壓力佳 5)使用過蘋果相關產品尤佳 ◎ 歡迎喜歡與人接觸、活潑及積極主動的夥伴加入我們的行列,30人以上應徵,121.2238507,24.9626957
