公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
1a2x6bibgg,749as,【約聘】新餐廳夥伴開發/業務人員 (桃園地區) - C46,"月薪25,000~45,000元",25000,45000,國內業務人員/通路開發人員,"1. 主動接洽餐飲企業，開發地方餐廳並訂立合作方案
2. 個性積極、正面思考、迎接挑戰，對美食餐飲有極大熱誠
3. Good Team Player，協調能力佳，認真負責
4. 需具備陌生業務開發、銷售經驗
5. 有外食市場，食品，餐飲經驗或背景者優先錄取

*因應內部業務規劃，本職缺為3個月約聘業務(合約至2021/03/31)，約聘期滿將視個人績效表現擇優轉正。",1~5人,1年以上,高中以上,,None,None,,, ,30人以上應徵,121.2195963,24.9548954
10ww9gpk,6s7d4,"【桃園/台中廠擴大招募】Data Engineer/ SR Data Engineer, Smart MFG & AI",待遇面議,0,0,資料庫管理人員/其他資訊專業人員,"As a Senior Data Engineer at Micron Technology Inc., you will be a key member of our Technology Solutions group within the Smart Manufacturing and Artificial Intelligence organization. The Data Engineering team works closely with Micron’s business functions(Domain expert, Data Scientist..etc) in all aspects of data, like Connect and automate the pipelines, provide data as products building data lake, data warehouse and data mart, and data cleansing and data governance developing Big data engineering, Machine Learning and advanced analytics solutions. We are looking for individuals with strong experience in Big Data and Cloud Datawarehouse technologies. This role will work primarily with Big Data technologies like Hadoop, Cloud data warehouse like Snowflake and GCP, ETL skills like Ni-Fi, Monitoring solutions such as Splunk, automation and machine learning using Python.
 
You will ensure critical projects as well as higher level production support are delivered with high quality and collaboration with internal Micron team members.
 
Responsibilities and Tasks      
•	Clarify project requirements and deliverables
•	Collaborate with Key project partners, Solution analyst and Architect on project needs and translate requirements into technical needs
•	Identify and understand the data sources that are relevant for analysis   
•	Become a subject matter expert in company data sources and visualization options 
•	Consolidate the requirements and using data engineering skills to design a robust DataMart 
•	Participate in design, architecture review and deployment of Big data and cloud data warehouse solutions
•	Design for automation and monitoring mechanism in a continuous integration environment 
•	Implement solutions that eliminate or minimize technical debt through a well-designed architecture, data model, and lifecycle
•	Bring together and share best-practice knowledge among the data engineering community
•	Work with OPS team through operational issues, escalations and resolve business partner issues in a timely manner with strong collaboration and care for business priorities.
•	Collaborate with business partners and other teams to ensure data solutions are available, recover from failures and operate healthy
 
What we are looking for:
•	B.S. degree and above in Computer Science or related fields (Information Engineering, Information Management, Data engineering, Applied Mathematics) 
•	3+ years of experience working with Big Data Solutions development
•	3+ years using ETL tools (NiFi, Informatica, SSIS, Spark…etc) 
•	3+ years developing with relational databases (MS SQL, Oracle, MySQL…etc) 
•	1+ years developing with Machine Learning, Data Analysis Knowledge/Skills
•	Strong application development skills and proficiency with Python, Java, Base shell, SQL…etc 
•	Strong developing applications with Hadoop Eco. Such as Hive, Spark, Kafka, HBase
•	Experience with Cloud services such as GCP, AWS, Snowflake
•	Experience with designing data monitoring dashboards by using Splunk, Tableau or any others visualization tools
•	Experience with web-applications/technologies development and deployment (RESTful services, Flask, Django, SpringBoot and ASP.net…etc)
•	Knowledge about container services such as Docker, Kubernetes, OpenShift is a plus
•	A passion for data and information with strong analytical, problem solving, and organizational skills
•	The ability to work in a dynamic, fast-paced, work environment
•	Self-motivated with the ability to work under minimal supervision
•	On-call support for escalated ticketing handling is expected for customer service 
•	Good communication skills in English or TOEIC 650 and above",不限,3年以上,大學以上,資訊管理相關/資訊工程相關/其他數學及電算機科學相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,***請務必至本公司職缺網站https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=225421&company=micron 應徵本職缺，並附上英文履歷/自傳。謝謝。 ***,11~30人應徵,121.3736985,25.0383964
18n64g34,6tljd,E8131 企業客戶事業群 - 資深業務(高雄),待遇面議,0,0,國內業務人員,"1. 開發暨維護南部地區企業客戶需求，確保營收持續增長並創造更高業績。
2. 提供企業客戶專業的顧問式服務，協助挖掘痛點，導入提升營運效率及創新商轉之技術應用，包含軟體與硬體整合，資通訊解決方案（ICT）、物聯網（IoT）、雲端（Cloud）、數據分析（Big Data）、使用者導向、使用情境、應用規劃等，執行整合概念之銷售模式，提供企業客戶完整的解決方案。",不限,1年以上,專科、大學、碩士,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,1. 具政府標案投、開標實戰經驗者佳。 2. 具電信或系統整合業務工作經驗者佳。 3. 熟悉固網及行動網路相關電信產品者佳。 4. 主動積極，對業務相關工作有高度熱忱及企圖心。 5. 擅長與人溝通協調，熟悉簡報技巧及客戶關係管理。,30人以上應徵,120.314803,22.582804
1a2x6bj2ma,74cdz,資深應用工程師 Senior Application Engineer,待遇面議,0,0,電子工程師/電子產品系統工程師,"The Role
OptimalPlus is now NI. NI OptimalPlus Solution is a Big Data analytics software that provides end-to-end solutions enabling automotive, semiconductors and electronics brand owners to protect the product quality and enhance their brand reputations in the market. 

Application engineer (AE) in NI OptimalPlus works as part of a dynamic team, while the role is truly an individual contributor, a high degree of customer interaction and teamwork is required to be effective in the role. Senior AE is responsible for ensuring the value delivery of NI OptimalPlus solutions to the customer and optimizing the use of tools for the customer. As a senior application engineer, you must have a solid understanding and appreciation for critical aspects of yield, quality, reliability, and throughput in a high-volume manufacturing environment. This role involved with demo to initiate upsell or new leads and do pilot to win the deal by solid ROI providing and act as the focal point for escalations by customers which are assigned to him as such he centralizes and prioritizes those requests and deliver timely solutions.

Key Responsibilities
•	Develop rules (using OT-Rules, an expert rules-based engine) that will insure the improved operational efficiency of the customer’s distributed test operations. 
•	Identify opportunities, as a result of real production observations, for improved yield, quality, reliability and operational efficiency and articulating those opportunities to the customer. 
•	Develop and maintain a deep technical understanding of NI OptimalPlus software applications to effectively support NI OptimalPlus customers. 
•	Work with NI OptimalPlus Product Management, Sales and Marketing to understand and define customer enhancement requirements and requests to current and future NI OptimalPlus applications. 
•	Ensure that every customer is treated professionally and with respect 
•	Define Priorities for his account (day to day support, new functionalities, training, up sale activities)
•	Responsible for ROI summary reports for his customer account.
•	Attend escalation meetings with customers face to face, set an improvement plan
•	Responsible for technical expertise of his customer
•	Accountable to grow his account measured in Quarterly Business Review (Customer satisfaction, Return on Investment, Response rate, Up-sale/contract renewal) 
•	Act as a customer advocate to NI OptimalPlus Product Management and R&D 

Key Performance Objectives
•	Maintain customer KPI
•	Create ROI for customer
•	Win pilot or upsell deal
•	Deliver training and application projects
•	Customer satisfaction

Qualifications and Skills

Basic Qualifications
•	Bachelor or master’s degree in electrical engineering, Computer Science, or related field
•	5 to 8 years of experience at Fabless or Test House companies on Yield/Product/Test aspects as application or product engineer
•	Experience and knowledge of semiconductor manufacturing and test operations, and use of data analytics and/or business intelligence applications in test operations, yield, efficiency, and quality
•	Strong knowledge of C#(.NET)/R/JavaScript/Java/C/C++/Python or equivalent programming languages
•	Proficiency in JMP, Excel, or other analysis tools

Preferred Qualifications
•	Familiarity with multiple data file formats but not limited to XML, XSD, STDF, and CSV
•	Working knowledge using online tools to troubleshoot software and hardware interoperability problems
•	Knowledge of and use of enterprise data analytics and/or enterprise business intelligence applications in achieving business value a plus
•	Experience working in a highly secure environment
•	Familiar with test platform especially TP development and debug incl. Advantest, Teradyne, NI, etc.

If you're interested to apply, please drop your resume here : https://pef.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/1421/?utm_medium=jobshare",1人,5年以上,大學、碩士,,英文,聽 /中等、說 /精通、讀 /中等、寫 /中等,C/C#/C++/C++.Net/Java/Python/JavaScript,,,6~10人應徵,121.5482467,25.0217501
1a2x6bj1nc,6mezc,Sr. Embedded Software Engineer 資深嵌入式軟體工程師,待遇面議,0,0,韌體設計工程師/軟韌體測試工程師,"【 About the role 】 
Furbo 狗狗攝影機是少數台灣自行研發，且成功熱銷全球的消費性 AIoT 產品。毛爸媽們可以透過手機確認家中毛小孩的安全狀況並與毛小孩互動。資深嵌入式軟體工程師
 (Embedded Software Engineer) 會負責嵌入式系統 (Embedded Linux) 的軟體開發， 包含AIoT系統軟體架構設計、P2P連線品質、多媒體影音串流優化，整合並最佳化系統。

【 About the company 】 
Tomofun是全球寵物科技業中，第一家實踐AIoT於產品-Furbo 狗狗攝影機的台灣新創。Furbo結合 AI、深度學習及雲端大數據，能辨識並分析狗狗行為，讓狗爸媽即使不在家也能隨時隨地瞭解寵物狀態、與寵物互動！2016年至今，Furbo已進入全球13國市場，目前已有數十萬使用者、遍布133國，並位居歐美亞10國Amazon寵物類別銷售冠軍。 

立足台灣的Tomofun，至今每年都有超過200%的驚人成長！延攬多國菁英，組織扁平、資訊透明的環境，讓每位Tomofuner都是產品的重要推手。想加入AIoT智慧時代、不畏挑戰、夢想用能力改變世界的你，Tomofun是屬於你的舞台！ 

【 What you'll do 】 
・Furbo影音串流功能與品質調教
・設計與開發middleware，以介接功能與底層平台
・Firmware效能優化、記憶體優化 
・Edge AI模型整合與效能優化 
・各項Furbo新功能開發 
・SoC平台評估與SDK整合

【 Who you are 】 
・資工/電機或相關科系碩士畢業
・5 年以上嵌入式系統(embedded system)相關工作經驗 
・精通 C/C++ 與 Linux embedded system
・熟悉系統架構，並有中大型系統設計、開發與系統整合(system integration)經驗
・熟悉多媒體串流技術如RTSP，開源軟體如live555, ffmpeg等
・熟悉網路通訊與藍牙技術
・熟悉 Makefile, CMake, Git, Gerrit等 
・熟悉敏捷開發流程
・善於並享受團隊合作 

【Benefits】 
・無限期休假制度，努力工作同時也要用力玩樂生活！ 
・彈性上下班時間，你可以依照自己的作息彈性調配。 
・在Tomofun每天都可以帶你的寵物來上班，讓你們時時刻刻都在一起，毛小孩們永遠不寂寞。 
・可以和對科技創新充滿熱情的跨國團隊一同合作，各領域好手齊聚一堂，相處融洽，彼此腦力激盪，創意無限！。 
・永遠都滿到不行的零食櫃，冰箱飲料、點心無限量供應！ 
・舒適又具創意的工作環境，像家一樣溫馨自在。 
・不定期的公司活動(電影日/披薩日/按摩日)，在Tomofun讓你兼顧生活與工作的平衡。 
・每年正職員工皆享有年度健康檢查，不只照顧你的頭腦也照顧你的身體。 
・每位正職員工配有兩台Furbo，讓你隨時可以與家中寵物互動！ 
・每兩週皆有下午茶日與每月慶生會，各種台北知名下午茶甜點免排隊送到你桌上！ 
・圖書館中有豐富有趣的書籍，可以隨時借閱，也歡迎推薦各類好書，讓我們一同成長。 
・Tomofun長久以來專注社會公益議題，公司不定期有志工日和志工計畫，歡迎在工作之餘，也可以與我們一同讓世界更好。 
・員工旅遊和不定期戶外活動！ 
・每月月會後一起跟同事們吃大餐，人生就是要好好吃美食！ 
・每位員工都是Tomofun的珍貴資產，各個面向的內外部訓練，讓你在各階段都能與我們一同成長。
",1人,5年以上,碩士以上,,None,None,,,System Application Engineer  系統應用工程師 嵌入式系統 Linux embedded system system integration,0~5人應徵,121.5494527,25.061374
1a2x6bjncy,74nyj,EVOX DevOps 雲端維運工程師,待遇面議,0,0,網路管理工程師/其他資訊專業人員/電腦系統分析師,"本職缺為雲端維運工程師 -- DevOps， 它是近年來最酷的工作，你將被要求同時具備開發與維運兩種專業，進而保證公司的服務器能自動的、不停止的、且無誤的運行，這是一份非常有趣而又有挑戰性的工作，歡迎研發工程師轉換軌道。

https://buzzorange.com/techorange/2019/10/28/programmer-career-path/
(2019/10科技報橘報導:  不想要一輩子只寫程式？當了 5 年的工程師後，你可以考慮往這 5 個職位發展 --> 其中之一就是 DevOps 工程師)

DevOps = Development + Operation 

DevOps engineer is the coolest job in the recent fast-growing cloud based industry. You will be responsible for the development, operation and maintenance of D2 Nova’s servers which run on Amazon Web Service (AWS) cloud. 

D2 Nova is the creator of the VX communications platform, namely the CPaaS (Communication Platform as a Service). D2 is aiming at developing an easy-to-use communication platform which combine the future technologies such as AI and big data. Our headquarters is based in California, US, with branch offices in Taipei, Hsinchu, and Beijing. 

美商迪諾亞D2 Nova為美商迪爾亞D2 Tech 轉投資的公司，承襲母公司專業的IP通訊技術，D2 Nova以發展網路服務平台CPaaS、並結合人工智慧AI為目標，並基於原母公司的電信技術IMS、VoLTE、RCS，結合OTT與Web雲端科技，將服務實現在公有雲(Public Cloud, AWS)之上，提供優質的互聯網通訊服務。D2 Nova總部設於美國加州聖塔芭芭拉。 

關於職務 :
  
Responsibilities :
* Handle daily routine tasks to achieve our SLA to customers.  You also need to provision and deploy for PoC projects.
* Work with developers to support their tasks and projects.
* Be part of the DevOps team to continue our quest for automating and streamline the whole provisioning and CI/CD process.

Basic Qualifications:
* Bachelor's or Master's degree in Computer Science or related fields.
* 3+ years of experience of system administration in Linux/Unix server operation environments.
* Python Scripts -- SQL Database Reports, AWS Lamda Functions, AWS Command Line Scripts, 
* Administer Linux System (Ubuntu) --  systemd scripts, ssh into bash shells, Cron jobs, Install software, apt-get install, dpkg -i ,
* Bash Scripts -- Build microservices in Jenkins, Deploy software,
* SQL -- Command Line Client, Scripting, 
* Infrastructure Deployment -- CloudFormation, Ansible,
* Docker -- Dockerfiles and Creating Images, Creating Docker hosts, Managing and Updating Docker Hosts, AWS ECR
* Kubernetes -- Create on Linux Instances, AWS EKS, GCP Kubernetes


Preferred Qualifications:
* A good command of English.
* In-depth experience with AWS
* Experience with SQL and with a solid programming background.
* Experience with Configuration Management Systems like Salt or Ansible.
* Experience with Docker and/or K8s.
* Experience with build/release (CI/CD) pipelines and methodologies (Jenkins, Hudson, Spinnaker, etc.).
* An understanding and passion for developing highly secure and highly available systems


Location 工作地點: Taipei Neihu 台北 內科
",1~2人,3年以上,大學以上,資訊工程相關/電機電子工程相關/資訊管理相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Linux/Java/HTML/JavaScript/DHCP/TCP/IP/Python/C++,伺服器網站管理維護/資料備份與復原/資訊設備環境設定/系統架構規劃/系統整合分析/軟體工程系統開發/軟體程式設計,,0~5人應徵,121.5694678,25.081577
1a2x6bibgg,749ba,【約聘】新餐廳夥伴開發/業務人員 (台南地區) - C48,"月薪25,000~45,000元",25000,45000,國內業務人員/通路開發人員,"1. 主動接洽餐飲企業，開發地方餐廳並訂立合作方案
2. 個性積極、正面思考、迎接挑戰，對美食餐飲有極大熱誠
3. Good Team Player，協調能力佳，認真負責
4. 需具備陌生業務開發、銷售經驗
5. 有外食市場，食品，餐飲經驗或背景者優先錄取

*因應內部業務規劃，本職缺為3個月約聘業務(合約至2021/03/31)，約聘期滿將視個人績效表現擇優轉正。",1~5人,1年以上,高中以上,,None,None,,, ,11~30人應徵,120.2042698,22.9965352
1a2x6bklmh,73zjs,大數據工程師,待遇面議,0,0,軟體設計工程師/電腦系統分析師/演算法開發工程師,"1.	主導設計及建置數據平台
2.	控制及維護資料庫，以確保資料庫架構、對象、數據、結構的一致性
3.	設計流程，以確保儲存資料庫中的數據準確性、完整性和即時性
4.	架構高速、穩定且容易擴充的計算平台，例如AWS(Auroa, Redshift, EMR), GCP(BigQuery, Firebase)
5.	使用ETL做數據處理的組件和模組開發
",1人,不拘,大學以上,資訊工程相關/數理統計相關/其他數學及電算機科學相關,None,None,Python/R/Scala/MySQL,系統架構規劃/軟體程式設計/Machine Learning/資料庫程式設計,1. 熟悉分析應用領域，例如客戶數據分析、數據推動市場、銷售和市場的績效分析者優先 2. 熟悉監控雲端系統者優先 3. 熟悉運用restful APIs者優先,11~30人應徵,121.5718383,25.0759118
1a2x6bk39d,70hci,AI大數據架構師,待遇面議,0,0,軟體設計工程師/軟體專案主管/演算法開發工程師,這是一個全新的團隊，期待有想法有衝勁的人能夠加入我們。/初期需要建立底層數據庫，未來帶領團隊前進。//1.	負責大數據平台系統架構設計與環境佈署管理。/2.	負責核心技術難題的處理，協助解決團隊遇到的技術難題。/3.	人工智慧應用/大數據技術架構與策略制定；具備開發能力、須親自與同仁一起完成專案開發。/4.	負責大數據平台系統新技術研究與需求性模組引進、整合與測試管理。/5.	數據資料清洗與統計分析。/6.	協助專案研發與新技術的導入。/7.	熟悉機器學習演算法之開發及優化。/8.	熟悉AWS or GCP or Spark系統架構，具備系統架構實務經驗。,1人,不拘,碩士以上,資訊工程相關/數理統計相關,None,None,,,1.	有Big Data分析經驗者(Distributed Systems/Big Data Processing/Cloud Computing)。 2.	有統計分析經驗者為佳。 3.	數學統計，資訊工程等相關科系碩士畢以上為佳。,0~5人應徵,121.5253392,25.0380869
cv8shww,6nmju,大數據工程師,"月薪60,000~85,000元",60000,85000,演算法開發工程師/統計學研究員,工作內容/1. 針對Large scale streaming and unstructured data去規劃設計公司服務平台之資料架構。 /2. 執行公司資源數據分析專案與任務，並資訊視覺化報表與簡報產出。 /3. 規劃、實做與維護公司之數據分析平台。 /4. 開發與維護新的預測模型。  /5. 資料庫優化及日常維運。 /6. 負責規劃、實做與維護為研究數據所建立之POC環境。 /7. 與開發人員合作，改進數據收集程序，並將機器學習算法推向正式環境。 /8. 與產品經理合作設置數據產品策略。 /9. 負責帶領其他初級數據工程師。 //應徵條件/1. 能即時了解最新的大數據架構，機器學習平台和開源工具，並與團隊分享。 /2. 有接受過程式語言的基礎訓練，如Java、Python、R等，擇一即可。  /3. 具演算法或機器/深度學習等數據建模能力尤佳（加分）。  /4. 有實際產品上線經驗（加分）。 /5. 有經歷過敏捷開發流程（加分）。//*本職務可接受實習及兼職，一週須安排 3 天以上全日班，能力與工作內容面談。/,1人,3年以上,大學以上,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Java/Python,,,6~10人應徵,121.548223,25.029112
