公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
fn5mtmo,6rmpw,【固定日班/固定夜班/四休二輪班】組裝作業員_零組件事業群(平鎮)，12/01(二)下午2:00 請直接到廠面試，隨到隨談,"月薪25,000~30,000元",25000,30000,作業員／包裝員/品管／檢驗人員/電腦組裝／測試,"◆12/01(二)下午2:00 請直接到廠面試，隨到隨談
◆「正職」非派遣，享年終，另有優渥績效獎金，年薪上看17個月！

【工作內容】
1.被動元件焊錫、組裝與測試 
2.須著全套式無塵衣
3.無經驗可，有工廠經驗者優先錄取
4.須輪班與配合加班

【工作時間】
工作時間8小時，另需配合加班，固定夜班/輪班，視可配合班別安排工作單位


【好康加碼看這裡】
好康一、500元包三餐
好康二、台達特約醫院體檢免費

★台達平鎮廠附有員工汽機車停車場、健身房、員工餐廳，歡迎您加入我們的行列★
",30~50人,不拘,不拘,,None,None,,,,11~30人應徵,121.1922896,24.9000923
c3d1254,6o6nr,募款教育儲備幹部 (高雄),"月薪35,900~40,650元",35900,40650,儲備幹部/教育訓練人員/國內業務人員,你在追求一份有意義的工作嗎？/這是一份保護地球的工作！ 每天喚醒你的將是這樣的理想！/你希望與全球接軌並和一群充滿理念的夥伴一起工作嗎？/我們的夥伴遍及全球，我們是群抱持著自己可以成為守護環境力量的人，/而你也能成為其中一份子。/你有意願擔任管理職並共同維持有向心力的團隊嗎？/我們歡迎有服務熱忱及團隊合作精神，並具備溝通協調管理能力的你，一/起加入我們培訓儲備幹部的計畫。//培訓計畫：/第一個月-成為獨當一面的募款與教育專員/目標：深入了解組織及專員的工作，並能勝任該工作/第二個月-啟動儲備幹部的訓練課程/目標：穩定的募款表現下，進行相關的訓練/第三個月-發揮所學、實踐任務/目標：承擔部分管理任務，評核管理能力與適性/第四個月起 -儲備幹部培訓期(三至六個月)/目標：實際擔任管理職，驗收並通過相關要求//工作內容：/募款工作：在市區、街頭、捷運站附近等人群聚集的地點，第一線和民眾/接觸，宣導環保的重要性及綠色和平推動的專案並招募捐款會員。//工作時段:/每日上班8小時(含1小時休息用餐時間) / 周末需要上班  //管理工作：/領導並激勵團隊、培訓及協助組員、制定並執行策略、收集且回報數據、/撰寫分析報告、協助處理行政工作及出席相關會議等。,1~3人,1年以上,高中、專科、大學、碩士,,None,None,,,"1.具培訓和領導團隊的工作經驗至少一年 2.關心環境的未來及綠色和平的工作，願意更深入了解環境保護相關的議題和知識 3.出色的溝通技巧，優秀的談談判技巧，能處理反對意見 4.能與不同背景的人建立融洽的關係 5.能獨立工作、專業、可靠、準時 6.人格特質: 外向及積極樂觀、喜歡與人接觸，擅長溝通、具團隊精神、抗壓性高、負責任、自信並具說服力, 面對市民拒絕捐款時, 仍保持正面態度 7.曾於非營利組織工作更佳",11~30人應徵,120.3132537,22.6427117
db3fpgw,3lzsw,專案副理(Deputy Account Manager),"月薪30,000~38,000元",30000,38000,行銷企劃人員/活動企劃人員/傳播媒體企劃人員,1. 共同擬訂年度公關策略、企劃提案發想及撰寫。/2. 新聞稿採訪及撰寫。/3. 專案執行、預算控管、結案報告撰寫。/4. 合作廠商協調溝通。 /5. 媒體溝通與連繫。//｛亞典金句｝我們所經歷的一切，都會成為信心的基石。-美國奇異電子前總裁《傑克威爾許》//進一步認識亞典，歡迎至我們的網站 /醫療/醫藥行銷顧問第一品牌 www.edenfront.com.tw,1~2人,2年以上,專科、大學,新聞學相關/醫藥衛生學科類/大眾傳播學相關,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,Excel/Outlook/PowerPoint/Word/Adobe Photoshop/PhotoImpact,行銷製作物規劃與執行/行銷宣傳預算編製與控管/公關活動規劃與執行/公關新聞稿撰寫與報導/活動主持與場控,1. 具一年以上公關經驗，並熟悉公關顧問公司運作流程。 2. 精通中英文聽說讀寫。 3. 專精office電腦文書處理能力。  ,11~30人應徵,121.523986,25.025291
b7j4cx4,6q2o4,遊戲機率企劃(PM),"月薪40,000元以上",40000,9999999,遊戲企劃人員/產品企劃開發人員,"1. 負責遊戲企劃提案及執行開發
2. 進行遊戲機率模組設計及驗證
3. 視專案需求進行跨部門溝通與協調
4. 負責遊戲數據分析
5. 需操作遊戲編輯器(Cocos Creator)",1~2人,1年以上,專科以上,數理統計相關/應用數學相關/一般數學相關,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,1. 熟悉Excel操作者佳  2. 具獨立思考能力者佳  3. 具備邏輯概念佳  4. 對博弈遊戲與棋牌類遊戲有興趣者尤佳,11~30人應徵,120.68302,24.1594609
1hrmizk,4dcqy,車輛販賣資訊系統專員,"月薪34,000~69,000元",34000,69000,電腦系統分析師/軟體設計工程師/其他資訊專業人員,"負責全國TOYOTA、LEXUS、HINO車輛販賣相關營運資訊系統之開發、維護，新專案之導入規劃與設計執行。
1. 對系統開發與服務應用具有熱忱，能針對需求歸納分析，符合系統效能與業務需求規劃並設計最合適之系統架構。
2. 熟悉 .NET Framework / .NET Core架構並具備開發經驗與能力。
3. 具備軟體專案管理、系統分析與設計之經驗與能力。
4. 熟悉Restful API開發，重視資訊安全，有良好的系統開發習慣。

*錄取後需至TOYOTA經銷商據點見學二個月",1人,不拘,大學、碩士,,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,系統架構規劃/軟體程式設計/網路程式設計/資料庫程式設計/系統架構規劃與維護,1. 曾有前端框架開發經驗或具數據分析經驗者尤佳。 2. 對新技術服務與增進系統效能與開發效率之各種服務充滿熱忱，有主動開發與研究之經驗。 3. 具備獨立解決問題能力，也能團隊合作共同分享技能。 4. 優秀的溝通與表達能力，細心、積極主動並善於溝通協調。,11~30人應徵,121.533341,25.052837
1a2x6bkpc9,74160,AmazingTalker 行政專員 / 營運長特助  | Executive Assistant / Administrative Assistant,"月薪30,000~40,000元",30000,40000,主管特別助理/行政助理/行政人員,"【 只處理透過以下連結申請的應徵者： https://amazingtalker.breezy.hr/p/e25c608e362b 】

About Us
AmazingTalker 致力建立一個全面的線上學習平台，讓任何人都可以找到合適的家教，在線上學習任何語言和知識。自2016年12月創辦以來，我們在60多個國家和地區，累積超過200,000名註冊用戶。在 2020 年 4 月，更被「親子天下」入選為【教育新創20+】，成為全台最具創新力道的20家教育新創之一。我們目標是成為全球性的新創，讓世界看見台灣。

我們正在招募一位「營運長特助」，負責 AmazingTalker 的行政管理事務，協助營運部們做更有效率的帳務、庶務與人事管理，你將有機會參與優化目前的帳務流程、行政法規等大大小小的行政工作。

About The Team
詳細職缺內容請參考以下連結：
https://amazingtalker.breezy.hr/p/e25c608e362b 


About the Role
作為「營運長特助」，您將會是營運團隊的重要成員，在財務會計方面，您將與專業的財務顧問合作，針對出入帳、應收帳款、合約管理等建立公司的財務報表制度；行政方面，您會協助優化整個公司的行政流程，增加效率，推進AmazingTalker團隊的成長。

「營運長特助」能夠接觸到公司的所有部門及營運流程，我們將給予這個職位極大的成長空間，讓他們能夠從細小的任務處理到大型的國際性專案，並能夠參與整間企業的成長歷程。

如果您有強烈的企圖心在尋找能夠發揮能力的舞台，並渴望親身見證企業的發展，深信加入 AmazingTalker 是能夠達成您的目標的理想地方，歡迎加入我們！

想了解更多 AmazingTalker 的團隊文化？看看我們對伙伴個人特質的要求。


Responsibilities
協助公司內外帳每月財務資料建檔歸檔事宜
協助人資行政等相關支援作業
審核出勤及計薪作業，加退保作業與管理
協助合約管理
協助整理財務、稅務相關憑證及資料核對
協助處理、優化庶務性行政工作

公司福利
‌假期福利

週休二日
每年享有15天的特休假，未來每年多一天・遇國定假日連休不補班
女性同仁每月生理假 1 天
彈性上下班時間
‌
休閒福利
健身設備隨時使用
餅乾泡麵暢吃，飲料免費暢飲
超多站桌、沙發、懶骨頭隨時放鬆
有一隻公司貓『啤啤』偶爾會撒嬌
週一 - 週五提供免費晚餐
年度公司旅行
‌
地點
距離捷運『新北產業園區站』走路 1 分鐘路程
台灣以外國家或地區，可在香港辦公室或遠端工作

學習福利
AmazingTalker線上課程津貼
‌
薪資
了解完整職缺內容及應徵請至：
https://amazingtalker.breezy.hr/p/e25c608e362b 
  
   
",1人,不拘,大學,,None,None,,,We're looking for: 熟悉各個文書軟體（Word/Excel/PowerPoint） 良好的英文能力 有強烈的學習動機，展現強烈的執行力，渴望為長期目標發揮影響力 良好的時間管理能力，能夠同時執行多項任務，並確立優先順序，有需要時能迅速調整 具備良好的溝通能力、能夠清晰表達自己的想法  加分項目 具備會計相關知識背景者 熟悉勞工保險相關法規者,11~30人應徵,121.45942,25.060022
20yv4o0,72fen,【THL】味好美 產品開發專員/副理,待遇面議,0,0,產品企劃開發人員/行銷企劃人員,"味好美McCormick，北美最大調味品品牌，全球最大調味品公司
1.國內外調味料市場資料蒐集、競品分析與消費者分析。
2.OEM工廠接洽與管理。
3.新產品開發、規劃、執行與進度掌控。
4.產品品規書的撰寫。
5.食品營養資訊及法規蒐集與分析。
6.產品品質測試、送驗與把關。
	
",1人,1年以上,大學、碩士,商業及管理學科類,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,Adobe Acrobat/Excel/PowerPoint/Word/Adobe Photoshop/Illustrator,市場調查企劃與執行/市場調查資料分析與報告撰寫/新產品研發與測試/供應商原物料異常分析處理,1. 需具新產品開發經驗 2. 跨部門溝通、良好表達能力、人際互動技巧佳  3. 喜愛料理或烹飪者尤佳 4. 具供應商評鑑、彙整、管理能力者佳	,11~30人應徵,121.5389392,25.051755
1a2x6bjlry,74fi3,內容策劃/內容行銷經理,"月薪50,000~80,000元",50000,80000,行銷企劃主管/品牌宣傳及媒體公關人員／主管/網站行銷企劃,"*擁有流行雜誌編輯、內容電商、相關媒體文字工作者…等相關工作經驗

1.用行銷觀點規劃運營電商流行時尚雜誌與各社群平台
2.統籌各類影音拍攝的內容主題規劃與進行等。
3.透過內容策畫與營銷性話題經營帶來流量，挑戰將流量變現
4.進行網路行銷及服務的成效追蹤與數據分析。
5.媒體關係維繫/新聞稿撰寫/公關活動
6.新型態合作案開發規劃/異業合作開發洽談


必備條件
－高EQ能力 : 幽默擅長溝通與自我管理，面對挫折不氣餒。
－充滿創意與想像力：相互激發創意，喜歡和團隊分享。
－強大數據分析能力 : 以各種數據與消費者分析為基礎，優化平台。

加分條件：
1. 打造過成功的自媒體平台的傳播案例、爆款話題。
2. 擅長整合資源，有策劃執行過中大型線上活動。

*無經驗者,請勿投遞
*有時需加班
*本公司提供的待遇、福利佳
*本公司有良好的升遷管道",1人,5年以上,大學以上,,None,None,Excel/PowerPoint/Word,品牌行銷管理/異業合作規劃與執行/網站企劃能力/網路活動規劃與執行/行銷策略擬定/社群媒體經營管理,需具細心、負責任、執行力,11~30人應徵,121.4600655,25.0491969
1a2x6bklkm,6c806,iOS軟體開發工程師,待遇面議,0,0,軟體設計工程師,"徵求條件：
- 精通 iOS 程式設計，能獨立完成模組設計和研發，至少3年 iOS 開發經驗
- 熟悉 iOS開發相關程式語言Swift、SwiftUI, Objective-C (我們主要是使用Swift開發)
- 熟悉資料結構、演算法、多執行緒處理
- 熟悉 MVP、MVVM框架
- 熟悉 RESTful API 串接, Json, UIKit, Memory管理與GCD, 對性能優化有深刻的理解
- 熱愛軟體程式設計，責任心強

加分條件：
- 有APP上架作品者優先考慮
- 有SwiftUI與Flutter相關開發經驗者優先考慮
- 有區塊練產品工作經驗者優先考慮

邀請iOS團隊其中一員的觀點大致描述一下此團隊的優缺點(工程師視角)
本職缺優點:
1. 成員都很好相處, 沒有烏煙瘴氣的氣氛
2. 成員皆為熱愛技術的人, 也樂於交流
3. 重視效率與成果, 較沒有過於僵化的表面形式與文化
4. 會議與雜事較少, 時間可以專注於開發

本職缺缺點:
1. 較快速的工作節奏
2. 較具挑戰性的工作內容
3. 團隊成員男性比例過高

由於辦公室位於101大樓, 便利的交通, 舒適的工作環境都是必然的~
免費提供的零食飲料吃到你幸福肥, 喜歡技術或想換工作的夥伴歡迎應徵。",3~4人,3年以上,大學以上,,None,None,iOS/SWIFT/Objective-C,,,11~30人應徵,121.5644722,25.0339639
1a2x6bik9o,6jzjz,（國內）軟體業務專員,"月薪36,000~100,000元",36000,100000,產品行銷人員/產品企劃開發人員/國內業務人員,• 負責GMP製程電子化軟體產品業務，包括: eQMS(電子化品質管理系統)、LIMS(實驗室資訊管理系統)、EBR(電子化批次記錄系統)/• 樂於溝通與接受挑戰、邏輯清楚、善於解決問題、高度團隊精神。指揮、協調及協助各項商品的專案導入計畫，技術服務部提供客戶諮詢、維護及教育工作。/• 業務推展與參展，傳達及說明公司各項業務重大訊息、活動及產品。,1~2人,1年以上,大學、碩士,資訊管理相關/市場行銷相關/生物學相關,英文,聽 /中等、說 /中等、讀 /精通、寫 /中等,Excel/Internet Explorer/Outlook/PowerPoint/Publisher/Word/Xmind,,樂於溝通與接受挑戰、邏輯清楚、善於解決問題、高度團隊精神。 需檢附近照相片 熟電腦、GMP產業、品質管理背景優先考慮 。 若有TOEIC、技能相關證照請提供。 參考網址：www.hygene.com.tw,0~5人應徵,121.5400103,24.9847494
